60 GB	50 GB	45 GB	
1.8232	1.80168	1.70167	
1.81872	1.80317	1.70392	
1.8172	1.80908	1.69954	
1.83898	1.82843	1.70417	
1.82036	1.83691	1.70711	
1.79657	1.83311	1.71335	
1.78408	1.85529	1.68453	
1.77725	1.84552	1.68441	
1.77862	1.85545	1.66637	
1.78801	1.86087	1.66181	
1.79379	1.87533	1.65671	
1.79522	1.88773	1.65583	
1.7903	1.88763	1.68022	
1.82035	1.88628	1.69312	
1.81605	1.83923	1.69007	
1.8133	1.82204	1.68369	
1.81278	1.83178	1.68889	
1.81903	1.85529	1.68663	
1.8224	1.86405	1.70184	
1.83653	1.85005	1.71821	
1.83143	1.85986	1.70545	
1.8246	1.8604	1.69332	
1.82417	1.8571	1.69554	
1.78954	1.85265	1.71464	
1.79732	1.84826	1.76224	
1.82393	1.88363	1.78907	
1.83613	1.87502	1.78228	
1.83484	1.88122	1.80106	
1.84173	1.8713	1.80907	
1.83736	1.87195	1.8271	
1.8507	1.86466	1.84997	
1.89303	1.84983	1.87093	
1.901	1.85326	1.87414	
1.87249	1.85224	1.86498	
1.8987	1.89174	1.87059	
1.88614	1.89583	1.88066	
1.88038	1.8819	1.90294	
1.8616	1.8537	1.91771	
1.85525	1.83411	1.90938	
1.83576	1.82986	1.89989	
1.83828	1.82032	1.89352	
1.85376	1.82465	1.89107	
1.85443	1.84771	1.8946	
1.835	1.84561	1.89556	
1.82968	1.8452	1.90734	
1.81226	1.8369	1.88385	
1.80437	1.81772	1.89441	
1.7929	1.83533	1.88873	
1.78599	1.83242	1.89178	
1.78801	1.83437	1.88451	
1.76918	1.83979	1.86254	
1.75619	1.84361	1.86848	
1.76126	1.83839	1.84919	
1.75071	1.83806	1.84618	
1.73113	1.83606	1.85689	
1.7324	1.86415	1.84495	
1.7374	1.88127	1.81588	
1.75025	1.92683	1.80961	
1.75211	1.93578	1.80647	
1.74543	1.95987	1.80028	
1.74152	1.95378	1.8008	
1.72533	1.96416	1.80318	
1.71825	1.93918	1.83111	
1.7399	1.93249	1.82227	
