60 GB	50 GB	45 GB	
78.4	75.2	73.6	
76.8	75.2	73.6	
76.8	76.8	72	
76.8	75.2	70.4	
76.8	76.8	72	
75.2	75.2	72	
78.4	76.8	73.6	
76.8	76.8	73.6	
78.4	75.2	73.6	
80	76.8	73.6	
78.4	76.8	75.2	
78.4	75.2	75.2	
78.4	75.2	76.8	
78.4	76.8	78.4	
78.4	75.2	76.8	
76.8	75.2	76.8	
78.4	75.2	76.8	
75.2	73.6	76.8	
76.8	73.6	76.8	
76.8	73.6	76.8	
76.8	73.6	75.2	
76.8	73.6	76.8	
78.4	72	76.8	
76.8	73.6	78.4	
78.4	73.6	76.8	
78.4	72	78.4	
78.4	72	76.8	
78.4	72	78.4	
76.8	72	76.8	
76.8	70.4	76.8	
76.8	72	75.2	
76.8	72	76.8	
76.8	72	76.8	
76.8	70.4	75.2	
76.8	70.4	76.8	
76.8	72	76.8	
76.8	72	78.4	
80	72	76.8	
78.4	73.6	78.4	
76.8	73.6	78.4	
78.4	72	78.4	
78.4	72	78.4	
78.4	73.6	78.4	
78.4	72	78.4	
78.4	72	78.4	
78.4	73.6	78.4	
78.4	73.6	78.4	
78.4	73.6	78.4	
80	75.2	80	
78.4	76.8	80	
80	75.2	81.6	
78.4	76.8	80	
80	78.4	80	
80	80	80	
80	81.6	80	
81.6	81.6	80	
80	81.6	80	
78.4	83.2	81.6	
78.4	83.2	80	
78.4	84.8	81.6	
78.4	84.8	83.2	
78.4	86.4	83.2	
78.4	86.4	84.8	
80	88	83.2	
80	86.4	84.8	
81.6	88	84.8	
80	88	86.4	
81.6	89.6	84.8	
81.6	88	84.8	
81.6	88	86.4	
81.6	89.6	84.8	
83.2	89.6	86.4	
81.6	89.6	86.4	
81.6	89.6	88	
83.2	89.6	86.4	
83.2	88	88	
84.8	89.6	88	
84.8	89.6	86.4	
86.4	88	88	
88	88	86.4	
86.4	89.6	86.4	
88	89.6	86.4	
88	89.6	86.4	
88	89.6	86.4	
84.8	89.6	86.4	
84.8	89.6	86.4	
86.4	89.6	86.4	
86.4	88	88	
84.8	89.6	86.4	
86.4	89.6	86.4	
86.4	89.6	86.4	
86.4	88	86.4	
86.4	89.6	86.4	
86.4	88	86.4	
86.4	88	88	
86.4	89.6	86.4	
84.8	89.6	86.4	
86.4	88	88	
84.8	89.6	88	
83.2	89.6	88	
84.8	89.6	88	
83.2	89.6	86.4	
83.2	88	86.4	
83.2	88	88	
86.4	89.6	88	
86.4	89.6	88	
84.8	89.6	86.4	
84.8	91.2	86.4	
86.4	89.6	88	
86.4	89.6	88	
84.8	89.6	89.6	
84.8	91.2	88	
84.8	89.6	88	
84.8	89.6	88	
83.2	89.6	86.4	
83.2	89.6	88	
84.8	89.6	88	
84.8	89.6	86.4	
84.8	89.6	86.4	
86.4	89.6	88	
86.4	88	86.4	
88	88	88	
86.4	89.6	88	
86.4	89.6	88	
86.4	89.6	86.4	
84.8	88	86.4	
88	88	88	
86.4	88	86.4	
86.4	89.6	86.4	
86.4	89.6	84.8	
88	88	84.8	
86.4	88	86.4	
88	88	86.4	
88	89.6	84.8	
89.6	89.6	86.4	
88	88	86.4	
88	88	84.8	
88	89.6	86.4	
88	89.6	86.4	
86.4	88	84.8	
86.4	89.6	86.4	
86.4	89.6	86.4	
88	89.6	86.4	
86.4	88	84.8	
86.4	88	86.4	
88	89.6	86.4	
86.4	89.6	86.4	
88	88	86.4	
86.4	88	86.4	
84.8	88	88	
84.8	89.6	88	
86.4	89.6	86.4	
84.8	88	86.4	
84.8	88	88	
84.8	88	86.4	
84.8	89.6	86.4	
84.8	88	88	
84.8	88	88	
86.4	88	86.4	
86.4	89.6	88	
86.4	88	88	
86.4	88	86.4	
86.4	88	86.4	
86.4	89.6	88	
86.4	89.6	86.4	
84.8	89.6	86.4	
84.8	88	86.4	
84.8	89.6	88	
86.4	89.6	88	
86.4	89.6	86.4	
86.4	89.6	86.4	
86.4	89.6	88	
88	91.2	88	
86.4	91.2	86.4	
86.4	91.2	88	
86.4	91.2	88	
86.4	92.8	88	
84.8	92.8	88	
84.8	92.8	89.6	
86.4	92.8	89.6	
84.8	94.4	89.6	
84.8	94.4	91.2	
84.8	96	91.2	
86.4	96	91.2	
84.8	96	92.8	
86.4	96	92.8	
86.4	97.6	92.8	
86.4	97.6	92.8	
86.4	97.6	92.8	
88	97.6	94.4	
88	97.6	94.4	
88	97.6	92.8	
88	99.2	92.8	
89.6	99.2	94.4	
89.6	99.2	94.4	
91.2	99.2	94.4	
91.2	99.2	94.4	
92.8	99.2	92.8	
92.8	99.2	92.8	
92.8	99.2	92.8	
94.4	99.2	92.8	
94.4	99.2	92.8	
94.4	97.6	92.8	
96	97.6	94.4	
97.6	97.6	94.4	
97.6	97.6	94.4	
97.6	99.2	94.4	
97.6	99.2	94.4	
97.6	99.2	94.4	
97.6	99.2	94.4	
97.6	99.2	94.4	
97.6	99.2	96	
97.6	97.6	96	
97.6	97.6	96	
97.6	97.6	96	
97.6	97.6	96	
97.6	97.6	96	
94.4	97.6	97.6	
94.4	97.6	97.6	
94.4	97.6	97.6	
94.4	99.2	97.6	
94.4	97.6	97.6	
94.4	97.6	97.6	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
96	97.6	96	
96	97.6	96	
96	99.2	96	
94.4	96	96	
94.4	97.6	96	
94.4	97.6	96	
94.4	99.2	96	
94.4	99.2	96	
92.8	99.2	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	94.4	
92.8	96	96	
92.8	97.6	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	97.6	96	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
91.2	99.2	94.4	
91.2	99.2	94.4	
89.6	99.2	94.4	
91.2	99.2	92.8	
92.8	99.2	92.8	
92.8	97.6	92.8	
91.2	97.6	92.8	
91.2	96	92.8	
91.2	96	94.4	
92.8	96	94.4	
92.8	96	96	
92.8	96	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
91.2	97.6	94.4	
89.6	97.6	94.4	
91.2	96	94.4	
91.2	96	94.4	
92.8	96	96	
91.2	96	96	
91.2	97.6	96	
91.2	97.6	96	
91.2	97.6	96	
91.2	99.2	96	
91.2	99.2	96	
91.2	99.2	94.4	
91.2	99.2	92.8	
91.2	99.2	94.4	
91.2	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	99.2	94.4	
92.8	99.2	94.4	
94.4	99.2	94.4	
96	99.2	94.4	
96	99.2	94.4	
96	99.2	94.4	
96	99.2	94.4	
94.4	99.2	94.4	
94.4	97.6	91.2	
94.4	97.6	92.8	
96	97.6	92.8	
96	99.2	92.8	
96	99.2	92.8	
96	99.2	94.4	
96	99.2	94.4	
96	99.2	94.4	
94.4	99.2	94.4	
92.8	99.2	94.4	
92.8	99.2	94.4	
92.8	99.2	94.4	
92.8	97.6	94.4	
91.2	97.6	94.4	
91.2	97.6	92.8	
91.2	99.2	92.8	
91.2	99.2	94.4	
91.2	99.2	94.4	
91.2	97.6	92.8	
92.8	97.6	92.8	
92.8	99.2	96	
92.8	99.2	94.4	
92.8	99.2	94.4	
92.8	97.6	94.4	
92.8	97.6	96	
92.8	97.6	96	
91.2	97.6	96	
91.2	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
91.2	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
94.4	99.2	96	
94.4	99.2	96	
94.4	97.6	96	
94.4	97.6	94.4	
94.4	97.6	94.4	
94.4	99.2	96	
94.4	99.2	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
91.2	97.6	94.4	
91.2	97.6	94.4	
92.8	99.2	94.4	
92.8	99.2	94.4	
92.8	99.2	94.4	
92.8	99.2	94.4	
94.4	99.2	94.4	
92.8	99.2	94.4	
91.2	99.2	94.4	
91.2	97.6	94.4	
89.6	97.6	96	
89.6	97.6	96	
89.6	97.6	96	
89.6	97.6	96	
89.6	97.6	96	
89.6	97.6	96	
91.2	97.6	96	
91.2	99.2	96	
91.2	99.2	96	
91.2	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	97.6	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	94.4	
92.8	99.2	94.4	
92.8	99.2	94.4	
