45 GB	40 GB	35 GB	30 GB	
139.2	116.8	92.8	92.8	
139.2	118.4	92.8	92.8	
140.8	120	92.8	92.8	
139.2	121.6	92.8	92.8	
144	120	92.8	94.4	
147.2	120	92.8	94.4	
152	118.4	94.4	92.8	
152	116.8	94.4	94.4	
152	115.2	94.4	94.4	
152	115.2	94.4	92.8	
153.6	115.2	94.4	92.8	
153.6	115.2	94.4	92.8	
152	113.6	91.2	92.8	
152	113.6	92.8	92.8	
150.4	118.4	92.8	92.8	
152	121.6	94.4	92.8	
152	120	94.4	92.8	
153.6	118.4	94.4	94.4	
155.2	118.4	96	94.4	
155.2	118.4	96	94.4	
156.8	120	94.4	92.8	
156.8	120	94.4	92.8	
156.8	116.8	96	92.8	
158.4	115.2	96	92.8	
155.2	113.6	96	92.8	
148.8	113.6	96	92.8	
142.4	113.6	96	94.4	
144	116.8	96	92.8	
142.4	116.8	96	92.8	
144	116.8	96	94.4	
144	113.6	96	94.4	
144	113.6	94.4	94.4	
145.6	115.2	96	92.8	
145.6	113.6	96	92.8	
145.6	108.8	96	92.8	
147.2	108.8	96	92.8	
152	110.4	96	92.8	
152	110.4	96	92.8	
150.4	112	91.2	92.8	
150.4	110.4	86.4	92.8	
150.4	112	81.6	94.4	
150.4	112	76.8	94.4	
150.4	115.2	70.4	94.4	
150.4	115.2	65.6	94.4	
148.8	116.8	60.8	92.8	
148.8	118.4	56	92.8	
150.4	120	51.2	92.8	
148.8	118.4	46.4	92.8	
148.8	120	41.6	92.8	
145.6	116.8	36.8	92.8	
142.4	121.6	36.8	92.8	
140.8	118.4	38.4	92.8	
140.8	120	38.4	94.4	
140.8	120	40	94.4	
140.8	123.2	40	92.8	
137.6	123.2	40	92.8	
134.4	123.2	40	92.8	
132.8	121.6	40	91.2	
134.4	120	48	91.2	
134.4	120	57.6	91.2	
134.4	120	60.8	89.6	
132.8	118.4	68.8	89.6	
132.8	121.6	73.6	89.6	
134.4	123.2	80	89.6	
134.4	123.2	84.8	91.2	
137.6	124.8	94.4	91.2	
136	126.4	100.8	91.2	
137.6	129.6	105.6	91.2	
139.2	126.4	110.4	89.6	
140.8	129.6	115.2	89.6	
144	124.8	115.2	89.6	
145.6	128	116.8	89.6	
142.4	129.6	116.8	89.6	
140.8	129.6	116.8	89.6	
142.4	129.6	120	91.2	
148.8	126.4	120	91.2	
150.4	123.2	120	91.2	
150.4	123.2	120	92.8	
150.4	126.4	116.8	92.8	
148.8	126.4	113.6	92.8	
150.4	124.8	116.8	94.4	
150.4	124.8	115.2	94.4	
148.8	123.2	116.8	94.4	
148.8	123.2	115.2	94.4	
148.8	124.8	115.2	94.4	
147.2	121.6	110.4	94.4	
147.2	118.4	108.8	94.4	
145.6	116.8	108.8	92.8	
144	121.6	108.8	94.4	
144	120	110.4	94.4	
142.4	124.8	112	94.4	
140.8	124.8	115.2	94.4	
139.2	123.2	116.8	94.4	
140.8	123.2	116.8	94.4	
140.8	123.2	113.6	94.4	
132.8	124.8	116.8	94.4	
131.2	128	121.6	94.4	
131.2	129.6	123.2	94.4	
131.2	128	123.2	92.8	
131.2	132.8	123.2	92.8	
134.4	136	124.8	92.8	
140.8	137.6	123.2	92.8	
145.6	137.6	123.2	92.8	
144	137.6	123.2	92.8	
142.4	136	124.8	92.8	
144	137.6	126.4	92.8	
140.8	137.6	126.4	92.8	
142.4	139.2	128	94.4	
140.8	140.8	129.6	94.4	
140.8	145.6	126.4	92.8	
142.4	150.4	124.8	92.8	
142.4	155.2	121.6	92.8	
144	161.6	121.6	92.8	
142.4	161.6	120	92.8	
139.2	160	120	92.8	
140.8	158.4	116.8	92.8	
140.8	160	112	92.8	
142.4	158.4	108.8	92.8	
140.8	158.4	110.4	92.8	
140.8	153.6	107.2	92.8	
137.6	152	104	92.8	
131.2	150.4	105.6	92.8	
126.4	147.2	105.6	92.8	
126.4	147.2	107.2	92.8	
128	152	104	92.8	
124.8	153.6	104	92.8	
124.8	160	105.6	92.8	
123.2	156.8	102.4	92.8	
124.8	153.6	100.8	92.8	
123.2	150.4	105.6	94.4	
121.6	142.4	108.8	92.8	
120	137.6	105.6	92.8	
121.6	131.2	104	92.8	
124.8	129.6	105.6	92.8	
126.4	132.8	104	92.8	
126.4	136	107.2	92.8	
124.8	134.4	110.4	92.8	
123.2	137.6	115.2	92.8	
120	137.6	113.6	94.4	
121.6	136	115.2	94.4	
118.4	136	116.8	94.4	
120	137.6	116.8	94.4	
118.4	139.2	118.4	94.4	
118.4	137.6	118.4	94.4	
121.6	132.8	120	92.8	
126.4	129.6	120	92.8	
128	124.8	121.6	92.8	
128	128	126.4	92.8	
128	128	129.6	92.8	
129.6	128	126.4	92.8	
131.2	132.8	123.2	94.4	
132.8	136	124.8	94.4	
