5 GB	40 GB	35 GB	30 GB	25 GB	20 GB	15 GB	10 GB	
187.2	238.4	217.6	227.2	227.2	166.4	184	97.6	
185.6	238.4	216	224	225.6	168	182.4	96	
187.2	238.4	216	222.4	227.2	169.6	179.2	96	
187.2	236.8	216	220.8	227.2	169.6	176	96	
188.8	240	214.4	217.6	227.2	169.6	176	96	
187.2	238.4	212.8	214.4	228.8	164.8	176	97.6	
188.8	238.4	211.2	212.8	228.8	163.2	179.2	99.2	
184	238.4	209.6	209.6	227.2	163.2	179.2	97.6	
185.6	240	208	208	227.2	163.2	179.2	99.2	
187.2	238.4	208	204.8	225.6	163.2	177.6	97.6	
185.6	240	206.4	204.8	225.6	163.2	176	99.2	
185.6	238.4	204.8	201.6	228.8	161.6	179.2	100.8	
184	238.4	204.8	200	224	158.4	179.2	100.8	
187.2	238.4	203.2	198.4	225.6	158.4	180.8	99.2	
187.2	236.8	204.8	193.6	224	156.8	182.4	99.2	
188.8	238.4	204.8	190.4	225.6	158.4	182.4	99.2	
188.8	236.8	206.4	190.4	225.6	156.8	182.4	97.6	
190.4	236.8	204.8	188.8	224	155.2	184	96	
192	235.2	203.2	185.6	222.4	155.2	185.6	96	
192	238.4	201.6	182.4	222.4	153.6	185.6	97.6	
195.2	238.4	200	179.2	220.8	153.6	185.6	96	
196.8	238.4	201.6	182.4	220.8	153.6	185.6	99.2	
198.4	238.4	201.6	182.4	222.4	150.4	188.8	99.2	
195.2	238.4	200	182.4	220.8	152	190.4	100.8	
193.6	238.4	201.6	184	217.6	150.4	190.4	102.4	
195.2	238.4	201.6	184	217.6	152	188.8	102.4	
198.4	238.4	200	182.4	214.4	152	180.8	100.8	
200	238.4	201.6	184	212.8	152	179.2	102.4	
201.6	236.8	203.2	182.4	211.2	152	176	100.8	
204.8	238.4	201.6	184	208	148.8	171.2	102.4	
208	236.8	203.2	182.4	204.8	148.8	169.6	104	
211.2	238.4	203.2	182.4	200	150.4	164.8	102.4	
214.4	236.8	203.2	182.4	203.2	152	163.2	102.4	
214.4	238.4	203.2	184	201.6	152	164.8	104	
217.6	238.4	201.6	187.2	201.6	153.6	164.8	104	
217.6	238.4	203.2	190.4	200	152	166.4	104	
217.6	238.4	201.6	188.8	195.2	152	169.6	107.2	
214.4	240	203.2	192	196.8	152	171.2	107.2	
212.8	240	204.8	192	193.6	148.8	171.2	107.2	
211.2	240	206.4	193.6	192	147.2	171.2	107.2	
208	238.4	206.4	195.2	192	145.6	176	105.6	
204.8	240	208	193.6	190.4	145.6	176	104	
198.4	238.4	206.4	195.2	190.4	147.2	169.6	104	
200	236.8	206.4	195.2	190.4	148.8	169.6	102.4	
200	235.2	206.4	195.2	188.8	147.2	166.4	100.8	
198.4	233.6	204.8	196.8	185.6	148.8	163.2	100.8	
192	230.4	206.4	200	185.6	147.2	164.8	100.8	
192	227.2	206.4	200	185.6	147.2	164.8	99.2	
192	225.6	204.8	201.6	185.6	145.6	164.8	99.2	
192	220.8	203.2	200	187.2	145.6	166.4	100.8	
188.8	219.2	203.2	201.6	188.8	144	168	99.2	
187.2	214.4	204.8	203.2	190.4	144	172.8	99.2	
182.4	212.8	203.2	204.8	187.2	142.4	174.4	99.2	
179.2	209.6	203.2	204.8	185.6	142.4	174.4	97.6	
176	208	204.8	204.8	184	140.8	176	97.6	
176	204.8	204.8	204.8	182.4	140.8	176	99.2	
174.4	201.6	204.8	203.2	182.4	139.2	168	97.6	
177.6	198.4	203.2	200	179.2	140.8	166.4	97.6	
179.2	195.2	203.2	201.6	177.6	142.4	166.4	97.6	
180.8	192	201.6	201.6	177.6	142.4	164.8	97.6	
184	188.8	201.6	201.6	176	140.8	160	100.8	
187.2	185.6	198.4	201.6	174.4	139.2	156.8	100.8	
190.4	184	200	201.6	171.2	140.8	161.6	100.8	
193.6	184	200	201.6	171.2	137.6	158.4	100.8	
195.2	182.4	198.4	201.6	171.2	139.2	158.4	100.8	
198.4	180.8	201.6	201.6	171.2	139.2	160	100.8	
201.6	180.8	200	196.8	171.2	140.8	161.6	99.2	
203.2	182.4	200	198.4	169.6	139.2	161.6	99.2	
203.2	180.8	200	198.4	168	139.2	160	99.2	
201.6	182.4	203.2	200	166.4	139.2	158.4	99.2	
203.2	182.4	203.2	201.6	163.2	139.2	155.2	99.2	
204.8	184	201.6	200	161.6	139.2	150.4	99.2	
209.6	184	203.2	200	161.6	139.2	148.8	99.2	
212.8	184	204.8	198.4	161.6	139.2	145.6	97.6	
214.4	180.8	203.2	200	160	139.2	142.4	99.2	
214.4	180.8	201.6	198.4	160	139.2	140.8	97.6	
214.4	182.4	203.2	200	161.6	139.2	145.6	97.6	
211.2	180.8	204.8	200	161.6	136	144	97.6	
211.2	182.4	204.8	200	164.8	136	140.8	99.2	
211.2	180.8	206.4	200	163.2	137.6	142.4	99.2	
211.2	182.4	206.4	201.6	163.2	137.6	142.4	99.2	
211.2	180.8	208	201.6	163.2	137.6	142.4	99.2	
211.2	180.8	209.6	200	164.8	139.2	139.2	99.2	
209.6	177.6	209.6	200	163.2	139.2	142.4	97.6	
209.6	177.6	209.6	201.6	164.8	140.8	144	99.2	
209.6	179.2	209.6	200	166.4	142.4	144	99.2	
208	179.2	209.6	204.8	164.8	145.6	140.8	100.8	
208	179.2	209.6	203.2	163.2	147.2	139.2	102.4	
206.4	180.8	209.6	203.2	164.8	150.4	139.2	102.4	
206.4	180.8	208	201.6	166.4	150.4	139.2	100.8	
208	179.2	204.8	203.2	168	150.4	142.4	102.4	
206.4	179.2	206.4	203.2	168	150.4	144	104	
206.4	179.2	203.2	200	169.6	150.4	142.4	104	
206.4	179.2	200	201.6	169.6	150.4	144	105.6	
204.8	179.2	201.6	201.6	171.2	150.4	145.6	104	
204.8	179.2	201.6	201.6	171.2	148.8	145.6	104	
204.8	176	198.4	203.2	168	150.4	145.6	104	
208	177.6	196.8	203.2	168	152	147.2	104	
209.6	176	196.8	203.2	166.4	150.4	148.8	102.4	
209.6	177.6	195.2	203.2	166.4	150.4	147.2	102.4	
209.6	177.6	195.2	201.6	166.4	153.6	147.2	100.8	
211.2	179.2	193.6	201.6	166.4	153.6	150.4	100.8	
211.2	177.6	193.6	203.2	166.4	152	153.6	100.8	
209.6	182.4	193.6	203.2	166.4	152	155.2	102.4	
212.8	182.4	195.2	203.2	164.8	148.8	155.2	100.8	
212.8	182.4	195.2	203.2	160	147.2	156.8	102.4	
214.4	184	193.6	201.6	161.6	144	160	102.4	
211.2	185.6	193.6	203.2	161.6	144	161.6	102.4	
212.8	185.6	195.2	203.2	161.6	140.8	163.2	100.8	
211.2	187.2	195.2	203.2	160	140.8	164.8	100.8	
