60 GB	50 GB	5 GB	45 GB	40 GB	35 GB	30 GB	25 GB	
1.99289	1.61769	1.85009	1.77248	1.82385	1.76896	1.61791	1.69985	
1.99818	1.58756	1.81076	1.76438	1.82854	1.76985	1.61335	1.70507	
2.02213	1.57784	1.80443	1.75144	1.83503	1.7725	1.61075	1.70492	
1.961	1.57672	1.80462	1.73529	1.85102	1.77396	1.60245	1.70228	
1.96403	1.58789	1.77057	1.72502	1.84595	1.76885	1.59427	1.70965	
1.96005	1.60106	1.76655	1.72747	1.84456	1.79678	1.59922	1.70882	
1.97341	1.61041	1.76549	1.72647	1.84251	1.79108	1.60016	1.71358	
1.96906	1.62377	1.76584	1.73311	1.84065	1.79781	1.60301	1.70511	
1.94123	1.62263	1.77189	1.72394	1.7945	1.76858	1.60351	1.7147	
1.94281	1.62329	1.77816	1.72041	1.77192	1.76765	1.62384	1.72926	
1.94677	1.61613	1.77959	1.71403	1.75974	1.76864	1.62606	1.73324	
1.98066	1.60551	1.77114	1.71671	1.74864	1.76469	1.62904	1.7636	
1.95009	1.61376	1.76468	1.71556	1.73641	1.7627	1.62709	1.7539	
1.96466	1.62365	1.75767	1.70529	1.73097	1.76874	1.63088	1.76805	
1.95237	1.62466	1.75708	1.69319	1.71224	1.77296	1.63864	1.77165	
1.95004	1.62226	1.75424	1.62414	1.702	1.77239	1.6374	1.78447	
1.97601	1.62288	1.75463	1.6108	1.66233	1.76353	1.6368	1.76697	
1.96152	1.60968	1.7507	1.60512	1.66079	1.75803	1.63657	1.78382	
1.9368	1.61005	1.74281	1.60193	1.65548	1.75556	1.63678	1.78802	
1.93436	1.60509	1.74288	1.5978	1.65732	1.75937	1.64152	1.7915	
1.92043	1.6009	1.74671	1.59562	1.65282	1.76889	1.63474	1.8009	
1.92375	1.60192	1.75305	1.59213	1.64835	1.77111	1.63141	1.80751	
1.90647	1.6115	1.76038	1.59521	1.6386	1.77334	1.63112	1.81758	
1.9095	1.61726	1.75845	1.6132	1.62095	1.77311	1.64297	1.82136	
1.88494	1.60974	1.75316	1.61704	1.61627	1.76893	1.65416	1.81741	
1.88681	1.59633	1.78255	1.61024	1.61818	1.74063	1.65179	1.81433	
1.88118	1.58887	1.78651	1.64447	1.62201	1.74375	1.64455	1.81749	
1.87615	1.57427	1.77908	1.64067	1.62853	1.73791	1.63796	1.81992	
1.87693	1.57331	1.77145	1.63473	1.62361	1.73466	1.63763	1.81486	
1.89363	1.56889	1.77154	1.63352	1.62863	1.73581	1.61945	1.81054	
1.90115	1.56888	1.76318	1.63123	1.64022	1.74115	1.6126	1.80787	
1.87706	1.57006	1.76715	1.64167	1.65011	1.73853	1.61332	1.7833	
1.87137	1.55807	1.8003	1.64551	1.66256	1.73102	1.61711	1.79193	
1.84875	1.55226	1.81271	1.64611	1.69007	1.71906	1.62914	1.77617	
1.85297	1.56503	1.81505	1.64409	1.70325	1.71126	1.62475	1.76267	
1.83824	1.578	1.81432	1.65001	1.7132	1.7142	1.62138	1.7615	
1.81907	1.57341	1.81369	1.65168	1.71861	1.71309	1.62231	1.76154	
1.81519	1.58183	1.8226	1.64522	1.72925	1.71128	1.61505	1.75703	
1.82003	1.58612	1.82016	1.64498	1.74116	1.71175	1.60932	1.75512	
1.81968	1.59883	1.83857	1.64218	1.75091	1.72233	1.60668	1.75668	
1.8075	1.6169	1.84374	1.64989	1.75293	1.71029	1.60675	1.76073	
1.79542	1.62707	1.85207	1.66533	1.75649	1.6997	1.60547	1.74922	
1.79231	1.62737	1.85322	1.66675	1.76319	1.68935	1.60461	1.7398	
1.78163	1.635	1.85938	1.65722	1.76465	1.68521	1.59806	1.73906	
1.77897	1.64608	1.88355	1.66592	1.7664	1.70387	1.59254	1.74027	
1.77461	1.65637	1.86387	1.67105	1.79988	1.71492	1.58882	1.74295	
1.77404	1.6669	1.88378	1.64144	1.80066	1.70787	1.5936	1.74034	
1.77986	1.67824	1.90962	1.64859	1.79752	1.70325	1.6155	1.74372	
1.81341	1.68494	1.93512	1.66181	1.80303	1.69838	1.61664	1.76155	
1.79824	1.69569	1.93943	1.67717	1.80181	1.68841	1.60985	1.75582	
1.77952	1.70709	1.95168	1.68828	1.79969	1.67894	1.60959	1.75765	
1.77329	1.71907	1.96497	1.68072	1.80122	1.68056	1.60675	1.75979	
1.76967	1.735	1.93955	1.68385	1.81342	1.68123	1.60492	1.75466	
1.78346	1.74858	1.96933	1.69854	1.79478	1.68704	1.59051	1.74937	
1.77803	1.74679	1.94597	1.70498	1.7983	1.68592	1.59527	1.74216	
1.79169	1.75107	33.6561	1.70625	1.7982	1.67693	1.59914	1.73944	
1.7755	1.76275	33.6685	1.70856	1.80157	1.67561	1.59456	1.73587	
1.77366	1.76828	33.6661	1.71857	1.80387	1.66724	1.5986	1.73804	
1.76102	1.76769	33.7017	1.73071	1.80247	1.66364	1.59685	1.7428	
1.7553	1.75992	33.694	1.74844	1.80474	1.64385	1.59176	1.73926	
1.753	1.75255	33.7271	1.74762	1.81049	1.65189	1.59705	1.72943	
1.74906	1.74471	33.7371	1.74169	1.81289	1.65912	1.6009	1.7256	
1.75864	1.74415	33.7804	1.75902	1.81374	1.66613	1.60564	1.72113	
1.77058	1.74034	33.7897	1.77348	1.81734	1.67116	1.60587	1.7201	
1.78732	1.73544	33.7855	1.77055	1.82241	1.65723	1.60246	1.72067	
1.79277	1.73217	33.7849	1.76905	1.78842	1.64131	1.60947	1.71646	
1.80885	1.73338	33.7984	1.76684	1.79063	1.64968	1.60382	1.71865	
1.79846	1.72864	33.7827	1.76429	1.79419	1.6523	1.58431	1.72976	
