5 GB	30 GB	25 GB	20 GB	15 GB	10 GB	
348.8	270.4	849.6	851.2	852.8	209.6	
380.8	257.6	835.2	859.2	860.8	209.6	
412.8	251.2	817.6	872	868.8	209.6	
446.4	252.8	798.4	892.8	872	196.8	
480	249.6	788.8	915.2	860.8	198.4	
507.2	256	790.4	926.4	843.2	198.4	
542.4	249.6	792	926.4	825.6	198.4	
576	249.6	795.2	915.2	811.2	198.4	
609.6	243.2	801.6	915.2	811.2	195.2	
636.8	241.6	804.8	913.6	816	196.8	
670.4	246.4	804.8	904	820.8	196.8	
702.4	243.2	812.8	904	825.6	193.6	
739.2	236.8	817.6	902.4	827.2	184	
774.4	236.8	820.8	904	832	185.6	
808	232	828.8	873.6	836.8	187.2	
843.2	227.2	833.6	841.6	846.4	182.4	
878.4	236.8	836.8	806.4	852.8	180.8	
907.2	240	838.4	776	857.6	182.4	
915.2	248	841.6	752	864	180.8	
918.4	243.2	843.2	721.6	864	180.8	
921.6	233.6	854.4	689.6	865.6	177.6	
926.4	230.4	872	657.6	867.2	179.2	
929.6	236.8	891.2	628.8	868.8	190.4	
929.6	236.8	913.6	595.2	873.6	192	
931.2	240	924.8	560	886.4	192	
934.4	243.2	913.6	529.6	908.8	192	
929.6	251.2	913.6	496	931.2	192	
926.4	246.4	910.4	470.4	950.4	193.6	
923.2	243.2	904	438.4	953.6	195.2	
923.2	241.6	891.2	406.4	952	193.6	
923.2	244.8	889.6	384	952	190.4	
923.2	244.8	891.2	353.6	952	192	
921.6	246.4	891.2	324.8	953.6	192	
921.6	244.8	860.8	291.2	950.4	192	
918.4	240	828.8	289.6	948.8	193.6	
916.8	236.8	796.8	289.6	926.4	193.6	
912	230.4	766.4	291.2	894.4	193.6	
908.8	232	736	291.2	864	192	
908.8	225.6	705.6	291.2	833.6	192	
908.8	233.6	675.2	289.6	800	192	
905.6	235.2	644.8	291.2	768	192	
902.4	240	612.8	292.8	736	190.4	
900.8	235.2	580.8	291.2	702.4	180.8	
902.4	230.4	550.4	294.4	668.8	180.8	
902.4	228.8	518.4	299.2	638.4	179.2	
902.4	219.2	497.6	300.8	604.8	182.4	
907.2	217.6	465.6	304	574.4	179.2	
905.6	217.6	436.8	305.6	542.4	179.2	
908.8	216	406.4	305.6	510.4	179.2	
905.6	216	388.8	308.8	480	180.8	
899.2	212.8	356.8	310.4	448	182.4	
900.8	209.6	324.8	312	416	182.4	
897.6	204.8	294.4	310.4	384	180.8	
899.2	203.2	294.4	313.6	355.2	177.6	
902.4	201.6	296	312	326.4	177.6	
904	200	296	308.8	316.8	180.8	
908.8	206.4	292.8	307.2	316.8	180.8	
910.4	204.8	294.4	304	316.8	179.2	
910.4	206.4	292.8	304	316.8	182.4	
912	201.6	292.8	305.6	318.4	188.8	
915.2	200	291.2	304	318.4	192	
918.4	209.6	292.8	304	318.4	196.8	
918.4	214.4	294.4	305.6	321.6	195.2	
916.8	217.6	292.8	305.6	323.2	195.2	
918.4	227.2	294.4	305.6	323.2	196.8	
916.8	228.8	294.4	304	324.8	193.6	
918.4	227.2	294.4	304	324.8	195.2	
921.6	227.2	296	300.8	326.4	195.2	
923.2	233.6	296	302.4	326.4	192	
928	236.8	296	304	328	195.2	
937.6	235.2	297.6	300.8	328	193.6	
937.6	238.4	299.2	297.6	328	192	
940.8	244.8	297.6	299.2	329.6	193.6	
939.2	244.8	297.6	297.6	329.6	196.8	
940.8	246.4	297.6	299.2	328	196.8	
939.2	249.6	299.2	302.4	329.6	195.2	
940.8	241.6	296	300.8	329.6	195.2	
940.8	236.8	300.8	302.4	331.2	196.8	
942.4	238.4	302.4	299.2	329.6	196.8	
940.8	232	304	299.2	329.6	196.8	
940.8	228.8	305.6	300.8	331.2	195.2	
940.8	228.8	304	299.2	332.8	188.8	
940.8	227.2	305.6	299.2	331.2	190.4	
942.4	238.4	305.6	299.2	332.8	193.6	
940.8	227.2	305.6	300.8	334.4	190.4	
942.4	225.6	305.6	302.4	334.4	190.4	
940.8	227.2	307.2	304	336	192	
942.4	227.2	302.4	307.2	334.4	192	
940.8	225.6	304	307.2	336	193.6	
942.4	220.8	302.4	305.6	332.8	190.4	
939.2	230.4	300.8	305.6	334.4	192	
940.8	233.6	299.2	307.2	334.4	192	
940.8	238.4	300.8	302.4	332.8	195.2	
940.8	233.6	299.2	304	336	193.6	
940.8	232	297.6	305.6	334.4	193.6	
940.8	232	297.6	307.2	334.4	192	
940.8	248	302.4	310.4	336	192	
940.8	264	297.6	312	334.4	192	
937.6	281.6	297.6	315.2	336	190.4	
937.6	307.2	297.6	315.2	337.6	182.4	
939.2	337.6	296	315.2	337.6	190.4	
936	360	297.6	316.8	337.6	217.6	
934.4	388.8	297.6	318.4	337.6	244.8	
932.8	400	297.6	318.4	337.6	268.8	
929.6	427.2	297.6	318.4	337.6	304	
929.6	459.2	299.2	318.4	337.6	336	
929.6	486.4	297.6	316.8	337.6	366.4	
928	513.6	302.4	318.4	339.2	396.8	
928	539.2	302.4	318.4	339.2	430.4	
928	571.2	302.4	320	340.8	465.6	
929.6	590.4	305.6	323.2	340.8	499.2	
928	614.4	305.6	323.2	340.8	532.8	
929.6	632	305.6	328	340.8	558.4	
929.6	664	305.6	328	339.2	588.8	
929.6	694.4	305.6	329.6	340.8	617.6	
929.6	723.2	307.2	329.6	340.8	644.8	
929.6	740.8	308.8	328	340.8	675.2	
926.4	758.4	308.8	328	342.4	708.8	
924.8	768	308.8	328	340.8	739.2	
924.8	776	308.8	329.6	339.2	772.8	
921.6	771.2	310.4	329.6	339.2	793.6	
923.2	768	308.8	329.6	339.2	801.6	
924.8	766.4	308.8	326.4	340.8	806.4	
924.8	772.8	310.4	323.2	339.2	811.2	
928	768	310.4	321.6	339.2	811.2	
928	766.4	310.4	316.8	340.8	809.6	
924.8	764.8	312	316.8	339.2	811.2	
910.4	766.4	312	315.2	339.2	811.2	
889.6	764.8	312	315.2	337.6	809.6	
880	761.6	313.6	313.6	339.2	806.4	
880	763.2	313.6	315.2	339.2	803.2	
881.6	761.6	315.2	315.2	340.8	792	
880	766.4	315.2	315.2	342.4	795.2	
881.6	764.8	316.8	316.8	340.8	793.6	
880	764.8	318.4	315.2	342.4	795.2	
881.6	761.6	315.2	316.8	340.8	801.6	
881.6	753.6	315.2	316.8	340.8	800	
884.8	753.6	315.2	318.4	340.8	798.4	
889.6	753.6	315.2	320	342.4	796.8	
891.2	752	315.2	310.4	344	796.8	
892.8	753.6	315.2	304	344	798.4	
894.4	755.2	316.8	294.4	344	798.4	
896	756.8	315.2	289.6	344	795.2	
896	756.8	312	284.8	345.6	790.4	
897.6	768	310.4	276.8	345.6	790.4	
897.6	768	310.4	273.6	344	790.4	
900.8	768	305.6	265.6	345.6	788.8	
916.8	769.6	305.6	259.2	345.6	790.4	
939.2	768	305.6	252.8	347.2	792	
947.2	768	307.2	241.6	345.6	792	
948.8	766.4	305.6	235.2	345.6	795.2	
948.8	768	305.6	?	345.6	809.6	
948.8	766.4	305.6	?	345.6	812.8	
948.8	769.6	307.2	?	334.4	820.8	
950.4	769.6	307.2	?	328	820.8	
950.4	774.4	308.8	?	321.6	817.6	
944	780.8	307.2	?	312	819.2	
915.2	779.2	312	?	300.8	814.4	
883.2	779.2	312	?	291.2	817.6	
851.2	780.8	305.6	?	281.6	817.6	
822.4	779.2	297.6	?	273.6	820.8	
790.4	776	291.2	?	264	822.4	
758.4	774.4	284.8	?	256	828.8	
729.6	772.8	280	?	246.4	835.2	
697.6	769.6	275.2	?	238.4	835.2	
667.2	769.6	265.6	?	?	836.8	
636.8	769.6	264	?	?	838.4	
606.4	769.6	257.6	?	?	840	
574.4	771.2	248	?	?	841.6	
545.6	772.8	240	?	?	846.4	
513.6	776	235.2	?	?	849.6	
483.2	771.2	?	?	?	849.6	
454.4	768	?	?	?	844.8	
422.4	768	?	?	?	840	
392	768	?	?	?	843.2	
361.6	769.6	?	?	?	846.4	
336	771.2	?	?	?	848	
336	774.4	?	?	?	852.8	
337.6	776	?	?	?	854.4	
337.6	776	?	?	?	854.4	
337.6	784	?	?	?	852.8	
339.2	785.6	?	?	?	854.4	
339.2	787.2	?	?	?	852.8	
339.2	788.8	?	?	?	848	
340.8	790.4	?	?	?	846.4	
339.2	788.8	?	?	?	844.8	
