09/07/2015 (24 CPU)
  
%usr %sys %iowait
0.33 0.63 3.97
0.21 0.50 4.18
0.17 0.71 4.01
0.38 0.54 4.18
0.25 0.75 4.17
0.21 0.59 3.93
0.29 0.67 4.22
0.25 0.63 3.93
0.25 0.79 4.26
0.21 0.71 4.10
0.21 0.71 4.01
0.13 0.79 4.22
0.17 0.67 4.01
0.25 0.67 4.26
0.29 0.75 4.01
0.13 0.79 4.18
0.25 0.63 4.18
0.21 0.67 4.01
0.17 0.54 4.27
0.17 0.63 3.97
0.29 0.63 4.18
0.21 0.92 4.09
0.21 0.59 3.97
0.29 0.58 4.34
0.13 0.67 3.97
0.21 0.50 4.19
0.21 0.46 4.02
0.21 0.67 4.14
0.29 0.50 4.35
0.17 0.79 3.97
0.21 0.58 4.22
0.21 0.63 4.01
0.21 0.67 4.26
0.25 0.59 4.31
0.25 0.59 3.97
0.17 0.67 4.14
0.17 0.59 4.02
0.17 0.59 4.18
0.25 0.50 4.39
0.29 0.67 4.18
0.29 0.88 4.09
0.17 0.67 3.97
0.21 0.71 4.22
0.21 0.71 4.09
0.25 0.75 4.21
0.33 0.54 3.97
0.25 0.75 4.18
0.21 0.59 4.22
0.13 0.71 4.10
0.38 0.71 4.25
0.38 0.75 4.00
0.29 0.67 4.18
0.25 0.71 4.22
0.29 0.67 4.05
0.25 0.46 4.23
0.29 0.75 3.96
0.21 0.92 4.25
0.29 0.67 4.18
0.13 0.67 4.14
0.25 0.59 4.18
0.13 0.67 3.97
0.29 0.67 4.22
0.25 0.54 4.02
0.17 0.75 4.34
0.21 0.54 4.23
0.21 0.71 4.01
0.25 0.54 4.22
0.17 0.71 4.01
0.25 0.59 4.22
0.21 0.83 4.26
0.17 0.79 4.01
0.17 0.71 4.18
0.21 0.79 4.05
0.17 0.71 4.18
0.17 0.54 4.06
0.33 0.79 4.17
0.25 0.54 4.19
0.21 0.67 4.05
0.13 0.50 4.31
0.17 0.59 4.02
0.17 0.92 4.21
0.17 0.63 4.18
0.13 0.71 4.02
0.25 0.67 4.39
0.17 0.67 4.01
0.21 0.63 4.18
0.21 0.75 4.05
0.21 0.75 4.18
0.25 0.79 4.34
0.21 0.67 4.01
0.21 0.59 4.18
0.17 0.75 3.80
0.17 0.83 4.22
0.17 0.88 4.30
0.29 0.63 3.72
0.21 0.79 4.22
0.17 0.88 4.00
0.21 0.67 4.14
0.29 0.46 4.14
0.25 0.71 4.18
0.21 0.59 4.22
0.17 0.75 4.01
0.29 0.54 4.18
0.25 0.67 4.14
0.29 0.63 4.22
0.25 0.79 4.18
0.25 0.54 4.02
0.33 0.38 4.18
0.21 0.42 4.15
0.29 0.54 4.14
0.21 0.71 4.01
0.25 0.71 4.22
0.25 0.59 4.18
0.21 0.75 4.18
0.21 0.63 4.22
0.21 0.71 4.01
0.25 0.79 4.22
0.17 0.63 4.18
0.21 0.59 4.14
0.13 0.67 4.22
0.25 0.59 3.97
0.21 0.59 4.22
