09/06/2015 (24 CPU)
0.25 0.75 3.63
0.38 0.79 3.63
0.38 0.54 3.64
0.33 0.71 3.64
0.29 0.88 3.59
0.33 0.71 3.76
0.21 0.59 3.73
0.33 0.75 3.64
0.29 0.83 4.01
0.21 0.71 3.60
0.21 0.54 3.72
0.25 0.59 3.64
0.29 0.71 3.55
0.29 0.59 4.35
0.29 0.67 3.55
0.25 0.67 3.72
0.25 0.75 3.55
0.25 0.79 3.59
0.29 0.54 3.64
0.21 0.63 3.60
0.21 0.67 3.68
0.21 0.75 3.64
0.33 0.63 3.55
0.29 0.71 3.59
0.25 0.83 3.67
0.29 0.71 3.80
0.25 0.71 3.72
0.33 0.63 3.68
0.21 0.71 3.68
0.29 0.63 3.73
0.29 0.59 3.64
0.29 0.75 3.64
0.21 0.79 3.68
0.25 0.79 3.63
0.96 1.72 3.56
0.25 0.59 3.64
0.17 0.63 3.56
0.21 0.54 3.44
0.33 0.67 3.55
0.21 0.63 3.64
0.33 0.71 3.55
0.25 0.63 3.39
0.21 0.54 3.60
0.33 0.67 3.59
0.13 0.84 3.63
0.29 0.75 3.80
0.29 0.71 3.63
0.38 0.75 3.55
0.33 0.71 3.59
0.33 0.79 3.55
0.29 0.75 3.76
0.25 0.63 3.55
0.17 0.79 3.59
0.21 0.63 3.65
0.29 0.84 3.68
0.33 0.67 3.68
0.17 0.79 3.68
0.25 0.79 3.63
0.25 0.83 3.67
0.29 0.67 3.63
0.25 0.63 3.80
0.29 0.50 3.68
0.21 0.63 3.64
0.17 0.67 3.64
0.17 0.54 3.73
0.21 0.84 3.72
0.25 0.71 3.67
0.29 0.88 3.63
0.17 0.84 3.59
0.38 0.67 3.59
0.25 0.79 3.72
0.21 0.79 3.55
0.25 0.84 3.51
0.38 0.96 3.54
0.25 0.88 3.59
0.17 0.92 3.76
0.29 0.71 3.64
0.29 0.67 3.60
0.25 0.75 3.47
0.25 0.67 3.60
0.25 0.75 3.64
0.17 0.63 3.64
0.33 0.75 3.67
0.21 0.75 3.59
0.29 0.63 3.51
0.25 0.67 3.72
0.17 0.75 3.55
0.25 0.71 3.63
0.29 0.71 3.59
0.21 0.59 3.60
0.21 0.63 3.60
0.21 0.79 3.59
0.29 0.67 3.59
0.25 0.67 3.59
0.21 0.67 3.64
0.25 0.75 3.64
0.17 0.67 3.64
0.42 0.58 3.72
0.25 0.79 3.59
0.33 0.75 3.59
0.17 0.71 3.64
0.17 0.63 3.65
0.13 0.71 3.68
0.21 0.59 3.73
0.38 0.79 3.71
0.33 0.71 3.67
0.33 0.63 3.72
0.29 0.71 3.71
0.25 0.67 3.64
0.25 0.59 3.72
0.21 0.83 3.76
0.25 0.59 3.52
0.21 0.67 3.68
0.33 0.71 3.67
0.38 0.54 3.76
0.25 0.75 3.71
0.21 0.50 3.64
0.25 0.75 3.68
0.25 0.84 3.51
0.33 0.83 3.50
0.29 1.04 3.46
0.33 0.46 3.60
0.33 0.59 3.55
0.25 0.67 3.59
0.25 0.67 3.60
0.33 0.88 3.51
0.29 0.67 3.39
0.33 0.59 3.51
0.29 0.71 3.59
0.13 0.67 3.60
0.25 0.75 3.72
0.29 0.63 3.55
0.29 0.75 3.55
0.29 0.83 3.59
0.29 0.63 3.64
0.21 0.67 3.64
0.25 0.79 3.67
0.29 0.79 3.67
0.17 0.84 3.64
0.25 0.71 3.55
0.25 0.63 3.52
0.29 0.63 3.68
0.21 0.71 3.63
0.29 0.75 3.63
0.38 0.79 3.67
0.29 0.84 3.59
0.25 0.84 3.47
0.33 0.88 3.55
0.38 0.75 3.59
0.17 0.67 3.60
0.17 0.96 3.64
0.25 0.71 3.63
0.21 0.79 3.63
0.21 0.71 3.68
0.17 0.59 3.56
0.38 0.83 3.46
0.21 0.71 3.43
0.25 0.79 3.42
0.33 0.92 3.34
0.21 0.59 3.52
0.38 0.88 3.50
0.17 0.59 3.56
1.09 1.55 3.39
0.33 0.75 3.47
0.42 0.71 3.30
0.17 0.63 3.39
0.21 0.75 3.39
0.21 0.92 3.38
0.13 0.80 3.43
0.17 0.84 3.55
0.13 0.75 3.64
0.38 0.71 3.59
0.21 0.84 3.59
0.29 0.71 3.68
0.25 0.92 3.63
0.25 0.83 3.79
0.21 0.67 3.68
0.17 0.50 3.64
0.17 0.75 3.72
0.21 0.50 3.64
0.17 0.75 3.80
0.25 0.63 3.60
0.17 0.75 3.68
0.37 0.87 3.66
0.29 0.67 3.68
0.17 0.71 3.68
0.25 0.75 3.68
0.29 0.83 3.63
0.25 0.96 3.67
0.17 0.75 3.72
0.21 0.71 3.81
0.25 0.63 3.72
0.25 0.83 3.67
0.17 0.46 3.73
0.21 0.67 3.72
0.29 0.50 3.77
0.21 0.84 3.67
0.13 0.67 3.72
0.29 0.71 3.68
0.33 0.63 3.67
0.21 0.63 3.68
0.13 0.79 3.72
0.25 0.67 3.67
0.25 0.67 3.72
0.33 0.67 3.67
0.25 0.83 4.00
0.21 0.79 3.63
0.25 0.67 3.72
0.21 0.59 3.73
0.33 0.50 3.64
0.29 0.71 3.76
0.17 0.67 3.68
0.29 0.83 3.71
0.29 0.59 3.72
0.21 0.67 3.64
0.25 1.00 3.67
0.25 0.50 3.64
0.21 0.54 3.56
0.17 0.71 3.60
0.13 0.71 3.56
0.29 0.75 3.67
0.17 0.79 3.63
0.13 0.67 3.60
0.21 0.75 3.63
0.25 0.42 3.60
0.25 0.67 3.68
0.21 0.79 3.59
0.25 0.67 3.64
0.21 0.71 3.60
0.21 0.71 3.60
0.29 0.67 3.68
0.21 0.54 3.64
0.21 0.59 3.64
0.13 0.71 3.64
0.33 0.71 3.67
0.13 0.75 3.77
0.25 0.92 3.67
0.29 0.67 3.60
0.25 0.50 3.64
0.25 0.83 3.67
0.33 0.71 3.76
0.17 0.63 3.68
0.25 0.59 3.73
0.33 0.83 3.71
0.29 0.75 3.71
0.25 0.59 3.72
0.29 0.79 3.71
0.33 0.79 3.71
0.25 0.75 3.71
0.25 0.75 3.68
0.17 1.42 3.18
0.25 0.63 3.72
0.25 0.54 3.72
0.29 0.67 3.68
0.21 0.67 3.72
0.17 0.54 3.73
0.25 0.79 3.67
0.21 0.83 3.71
0.21 0.92 3.67
0.38 0.63 3.68
0.29 0.63 3.80
0.29 0.79 3.67
0.25 0.83 3.71
0.38 0.59 3.72
0.33 0.71 3.67
0.29 0.79 3.71
0.25 0.79 3.71
0.17 0.75 3.68
0.21 0.83 3.67
0.38 0.50 3.72
0.21 0.54 3.73
0.25 0.88 3.71
0.29 0.67 3.64
0.29 0.67 3.72
0.25 0.59 3.64
0.38 0.58 3.71
0.17 0.84 3.63
0.21 0.79 3.67
0.42 0.71 3.67
0.21 0.59 3.72
0.21 0.84 3.72
0.25 0.63 3.68
0.21 0.79 3.68
0.25 0.67 3.68
0.38 0.67 3.63
0.17 0.63 3.68
0.13 0.79 3.72
0.21 0.67 3.64
0.21 0.71 3.64
0.25 0.63 3.68
0.21 0.67 3.81
0.21 0.67 3.72
0.21 0.59 3.72
0.29 0.79 3.67
0.25 0.46 3.64
0.21 0.67 3.68
0.25 0.63 3.72
0.13 0.71 3.60
0.29 0.54 3.68
0.33 0.50 3.64
0.21 0.75 3.76
0.21 0.79 3.63
0.25 0.67 3.64
0.25 0.67 3.64
0.38 0.67 3.63
0.21 0.71 3.81
0.33 0.54 3.72
0.25 0.54 3.68
0.33 0.63 3.72
0.29 0.67 3.68
0.25 1.50 3.05
0.29 0.67 3.68
0.29 0.54 3.72
0.29 0.75 3.71
0.21 0.67 3.68
0.21 0.54 3.81
0.25 0.83 3.71
0.17 0.67 3.72
0.17 0.42 3.69
0.33 0.63 3.68
0.29 0.63 3.68
0.33 0.79 3.71
0.17 0.71 3.64
0.25 0.67 3.72
0.29 0.75 3.63
0.33 0.67 3.80
0.25 0.75 3.72
0.25 0.83 3.67
0.25 0.67 3.72
0.25 0.63 3.68
0.25 0.71 3.68
0.25 0.71 3.68
0.25 0.59 3.77
0.33 0.71 3.71
0.17 0.75 3.64
0.25 0.75 3.76
0.33 0.75 3.71
0.21 0.67 3.64
0.17 0.71 3.72
0.21 0.75 3.68
0.25 0.71 3.76
0.25 0.67 3.72
0.38 0.67 3.67
0.29 0.59 3.72
0.29 0.63 3.68
0.25 0.46 3.69
0.21 0.63 3.68
0.25 0.75 3.63
0.38 0.67 3.72
0.17 0.38 3.65
0.17 0.79 3.72
0.21 0.67 3.72
0.21 0.71 3.68
0.21 0.63 3.68
0.29 0.71 3.63
0.25 0.75 3.76
0.25 0.63 3.68
0.21 0.63 3.72
0.33 0.75 3.67
0.13 0.63 3.68
0.21 0.79 3.76
0.25 0.71 3.68
0.17 0.84 3.67
0.25 0.59 3.72
0.29 0.71 3.72
0.25 0.67 3.76
0.21 0.71 3.64
0.25 0.71 3.63
0.29 0.63 3.68
0.29 0.63 3.64
0.21 0.59 3.85
0.21 0.63 3.72
0.33 0.58 3.68
0.17 0.79 3.67
0.38 0.63 3.72
0.13 0.79 3.72
0.21 0.71 3.72
0.21 0.54 3.69
0.17 0.84 3.68
0.33 0.63 3.59
0.25 1.46 3.55
0.17 0.67 3.72
0.25 0.63 3.68
0.25 0.71 3.72
0.17 0.71 3.64
0.29 0.63 3.76
0.25 0.67 3.72
0.21 0.59 3.72
0.29 0.71 3.63
0.33 0.71 3.68
0.29 0.59 3.72
0.29 0.75 3.71
0.38 0.75 3.71
0.25 0.59 3.64
0.42 0.75 3.71
0.21 0.67 3.76
0.33 0.96 3.62
0.17 0.67 3.63
0.25 0.84 3.67
0.29 0.50 3.68
0.17 0.79 3.76
0.25 0.67 3.68
0.13 0.63 3.72
0.25 0.83 3.63
0.17 0.46 3.68
0.21 0.75 3.76
0.17 0.75 3.67
0.29 0.71 3.63
0.17 0.54 3.64
0.21 0.63 3.72
0.17 0.63 3.76
0.21 0.67 3.68
0.17 0.75 3.71
0.29 0.75 3.63
0.17 0.59 3.60
0.21 0.50 3.77
0.13 0.54 3.64
0.25 0.54 3.72
0.29 0.88 3.64
0.88 1.29 3.72
0.17 0.63 3.68
0.38 0.79 3.63
0.17 0.46 3.56
0.21 0.71 3.68
0.25 0.54 3.68
0.25 0.63 3.72
0.21 0.67 3.76
0.33 0.75 3.63
0.25 0.50 3.68
0.29 0.75 3.72
0.25 0.83 3.79
0.25 0.67 3.68
0.25 0.71 3.72
0.29 0.71 3.68
0.33 0.67 3.72
0.21 0.83 3.71
0.33 0.67 3.68
0.25 0.63 3.68
0.33 0.59 3.64
0.33 0.75 3.71
0.25 0.79 3.76
0.17 0.54 3.64
0.25 0.63 3.72
0.33 0.75 3.63
0.21 0.67 3.72
0.21 0.71 3.76
0.29 0.67 3.68
0.21 0.67 3.72
0.33 0.75 3.67
0.25 0.67 3.64
0.33 0.63 3.84
0.29 0.75 3.72
0.21 0.59 3.68
0.21 0.79 3.71
0.17 0.63 3.64
0.25 0.54 3.77
0.29 0.79 3.67
0.25 0.59 3.73
0.29 0.54 3.72
0.29 0.79 3.80
0.25 0.83 3.71
0.21 0.54 3.68
0.21 0.79 3.67
0.25 0.54 3.76
0.17 0.79 3.67
0.29 0.63 3.68
0.13 0.59 3.64
0.33 0.83 3.71
0.25 0.79 3.63
0.17 0.63 3.72
0.17 0.54 3.77
0.25 0.84 3.63
0.25 0.67 3.71
0.17 0.71 3.72
0.25 0.59 3.72
0.17 0.63 3.77
0.21 0.88 3.63
0.29 0.83 3.71
0.29 0.71 3.68
0.29 0.67 3.64
0.13 0.75 3.76
0.13 0.50 3.65
0.21 0.59 3.72
0.29 0.59 3.68
0.33 0.71 3.67
0.33 0.67 3.76
0.42 0.83 3.71
0.25 0.79 3.59
0.25 0.59 3.68
0.17 0.75 3.68
0.33 0.59 3.80
0.38 0.67 3.71
0.21 0.71 3.60
0.29 0.71 3.72
0.33 0.59 3.72
0.33 0.59 3.72
0.25 0.75 3.68
0.13 0.84 3.64
0.33 0.83 3.67
0.25 0.71 3.72
0.33 0.67 3.76
0.29 0.67 3.76
0.29 0.54 3.72
0.21 0.50 3.64
0.21 0.50 3.69
0.21 0.71 3.80
0.29 0.63 3.64
0.17 0.88 3.67
0.17 0.54 3.73
0.25 0.59 3.64
0.29 0.67 3.80
0.25 0.92 3.67
0.13 0.67 3.68
0.21 0.75 3.72
0.38 0.63 3.64
0.25 0.79 3.80
0.21 0.79 3.68
0.29 0.79 3.67
0.25 0.92 3.63
0.21 0.75 3.72
0.25 1.30 3.60
0.21 0.67 3.64
0.21 0.88 3.67
0.21 0.75 3.72
0.13 0.67 3.68
0.29 0.71 3.80
0.29 0.63 3.72
0.29 0.63 3.64
0.29 0.59 3.72
0.25 0.75 3.64
0.25 0.54 3.85
0.17 1.38 3.01
0.21 0.75 3.68
0.25 0.63 3.64
0.29 0.59 3.72
0.13 0.59 3.77
0.29 0.54 3.68
0.21 0.67 3.68
0.25 0.75 3.63
0.25 0.54 3.47
0.17 0.84 3.55
0.29 0.71 3.47
0.25 0.67 3.47
0.25 0.67 3.55
0.29 0.67 3.55
0.33 0.63 3.72
0.33 0.63 4.39
0.25 0.92 4.22
0.25 0.54 3.64
0.33 0.67 3.71
0.25 0.63 3.76
0.21 0.84 3.63
0.38 0.50 3.68
0.33 0.59 3.64
0.33 0.83 3.63
0.25 0.63 3.72
0.29 0.83 3.63
0.21 0.92 3.59
0.42 0.83 3.67
0.25 0.83 3.63
0.33 0.67 3.68
0.13 0.75 3.64
0.29 0.83 3.67
0.13 0.59 3.69
0.17 0.67 3.77
0.29 0.79 3.84
0.25 0.67 3.68
0.13 0.79 3.68
0.13 0.50 3.69
0.21 0.59 3.73
0.21 0.67 3.81
0.29 0.59 3.72
0.29 0.63 3.68
0.25 0.50 3.72
0.25 0.63 3.60
0.17 0.84 3.76
0.17 0.67 3.68
0.29 0.63 3.68
0.17 0.59 3.77
0.13 0.63 3.68
0.25 0.63 3.81
0.33 0.71 3.67
0.29 0.67 3.72
0.33 0.67 3.68
0.33 0.71 3.63
0.17 0.75 4.05
0.29 0.71 3.67
0.25 0.79 3.67
0.17 0.71 3.68
0.25 0.63 3.72
0.25 0.71 3.80
0.25 0.59 3.60
0.29 0.50 3.64
0.17 0.84 3.67
0.17 0.63 3.60
0.33 0.67 3.76
0.25 0.75 3.71
0.25 0.54 3.68
0.29 0.59 3.68
0.25 0.79 3.67
0.21 0.84 3.64
0.33 1.29 3.17
0.17 0.63 3.72
0.25 0.54 3.68
0.21 0.75 3.67
0.25 0.59 3.81
0.33 0.58 3.68
0.29 0.50 3.68
0.17 0.75 3.68
0.21 0.67 3.68
0.33 0.67 3.72
0.29 0.71 3.72
0.29 0.63 3.72
0.25 0.75 3.71
0.21 0.63 3.72
0.21 0.63 3.73
0.29 0.50 3.64
0.21 0.79 3.63
0.29 0.71 3.68
0.21 0.71 3.68
0.29 0.71 3.76
0.25 0.88 3.67
0.21 0.71 3.68
0.25 0.92 3.71
0.21 0.79 3.67
0.33 0.63 3.76
0.29 0.71 3.67
0.13 0.75 3.72
0.21 0.59 3.76
0.29 0.46 3.68
0.25 0.63 3.85
0.21 0.75 3.72
0.25 0.59 3.64
0.29 0.92 3.71
0.13 0.63 3.72
0.25 0.88 3.76
0.25 0.88 3.71
0.21 0.63 3.64
0.29 0.67 3.68
0.21 0.88 3.63
0.29 0.75 3.80
0.33 0.67 3.67
0.33 0.46 3.64
0.29 0.59 3.68
0.21 0.75 3.59
0.21 0.88 3.76
0.25 0.63 3.64
0.25 0.54 3.68
0.17 1.00 3.22
0.21 0.63 3.68
0.17 0.84 3.72
0.17 0.71 3.64
0.38 0.67 3.59
0.13 0.67 3.60
0.29 0.58 3.59
0.25 0.67 3.72
0.25 0.79 3.59
0.29 0.92 3.30
0.38 0.71 3.63
0.17 0.67 3.60
0.33 0.92 3.42
0.29 0.75 3.60
0.25 0.92 3.67
0.38 0.75 3.59
0.29 0.83 3.63
0.17 0.71 3.76
0.21 0.63 3.60
0.21 0.67 3.59
0.25 0.63 3.60
0.25 0.46 3.60
0.29 0.67 3.72
0.17 0.50 3.64
0.21 0.63 3.60
0.29 0.88 3.55
0.29 0.83 3.63
1.29 1.63 3.63
0.33 0.63 3.59
0.25 0.84 3.63
0.25 0.71 3.60
0.21 0.84 3.47
0.25 0.88 3.46
0.25 0.67 3.51
0.29 0.75 3.51
0.33 0.46 3.52
0.42 0.58 3.55
0.21 0.84 3.63
0.17 0.92 3.59
0.33 0.59 3.55
0.29 0.79 3.63
0.29 0.63 3.64
0.29 0.79 3.75
0.29 0.71 3.63
0.17 0.75 3.76
0.29 0.63 3.64
0.33 0.67 3.72
0.17 0.79 3.68
0.29 0.88 3.63
0.25 0.63 3.68
0.17 0.67 3.72
0.25 0.75 3.63
0.25 0.54 3.77
0.25 0.79 3.67
0.29 0.54 3.68
0.29 0.59 3.72
0.21 0.88 3.67
0.25 0.59 3.81
0.25 0.79 3.63
0.17 0.71 3.68
0.29 0.71 3.68
0.25 0.71 3.68
0.25 0.71 3.76
0.25 0.67 3.72
0.21 0.67 3.68
0.29 0.50 3.69
0.13 0.50 3.60
0.21 0.75 3.80
0.21 0.63 3.68
0.29 0.75 3.67
0.25 0.63 3.68
0.33 0.71 3.59
0.17 0.71 3.64
0.33 0.63 3.51
0.21 0.71 3.55
0.21 0.59 3.56
0.42 0.63 3.63
0.29 0.67 3.76
0.29 0.71 3.72
0.25 0.59 3.64
0.17 0.50 3.60
0.33 0.54 3.47
0.25 0.71 3.55
0.25 0.67 3.51
0.25 0.88 3.50
0.21 0.88 3.42
0.21 0.71 3.51
0.29 0.46 3.56
0.38 0.63 3.51
0.17 0.75 3.51
0.42 0.63 3.63
0.25 0.83 3.63
0.38 0.75 3.75
0.13 0.75 3.72
0.21 0.79 3.63
0.29 0.67 3.72
0.17 0.79 3.72
0.25 0.67 3.72
0.25 0.67 3.68
0.25 1.00 3.71
0.21 0.75 3.68
0.25 0.59 3.68
0.29 0.71 3.76
0.25 0.88 3.73
0.29 0.75 3.67
0.21 0.63 3.68
0.17 0.59 3.73
0.21 0.63 3.85
0.21 0.83 3.63
0.17 0.54 3.73
0.33 0.71 3.71
0.25 0.75 3.67
0.17 0.59 3.77
0.25 0.75 3.63
0.25 1.00 3.67
0.25 0.75 3.71
0.25 0.75 3.63
0.29 0.75 3.76
0.08 0.75 3.68
0.21 0.79 3.67
0.21 0.67 3.68
0.33 0.71 3.72
0.33 0.58 3.80
0.17 0.92 3.59
0.33 0.75 3.67
0.21 0.71 3.68
0.25 0.88 3.63
0.25 0.75 3.76
0.29 0.54 3.68
0.25 0.67 3.67
0.29 0.59 3.64
0.21 0.79 3.59
0.17 0.54 3.77
0.17 0.84 3.59
0.29 0.50 3.60
0.21 0.63 3.64
0.21 0.63 3.64
0.29 0.63 3.80
0.25 0.83 3.67
0.29 0.46 3.60
0.17 0.71 3.68
0.29 0.63 3.68
0.25 0.54 3.73
0.33 1.04 3.42
0.25 0.79 3.68
0.33 0.75 3.71
0.21 0.75 3.64
0.13 0.67 3.77
0.29 0.92 3.43
0.42 0.67 3.75
0.33 0.79 3.67
0.13 0.63 3.68
0.38 0.46 3.72
0.21 0.83 3.55
0.29 0.79 3.55
0.21 0.88 3.59
0.29 0.71 3.59
0.25 0.59 3.68
0.21 0.67 3.68
0.38 0.63 3.72
0.29 0.63 3.72
0.25 0.63 3.64
0.33 0.63 3.76
0.21 0.88 3.47
0.33 0.83 3.67
0.17 0.67 3.60
0.29 0.92 3.30
0.29 0.88 3.51
0.25 0.75 3.55
0.33 0.71 3.55
0.21 0.92 3.55
0.13 0.71 3.60
0.25 0.79 3.68
0.25 0.71 3.55
0.33 0.96 3.42
0.25 0.79 3.47
0.21 0.92 3.42
0.25 0.84 3.42
0.21 0.84 3.38
0.21 0.75 3.39
0.29 0.92 3.50
0.25 0.71 3.72
0.13 0.67 3.64
0.42 0.75 3.67
0.25 0.79 3.71
0.38 0.63 3.67
0.21 0.88 3.59
0.29 0.83 3.75
0.17 0.67 3.68
0.25 0.75 3.67
0.21 0.63 3.68
0.25 0.59 3.76
0.21 0.71 3.80
0.17 0.59 3.64
0.25 0.79 3.68
0.21 0.71 3.72
0.21 0.75 3.63
0.17 0.75 3.76
0.29 0.59 3.68
0.21 0.42 3.73
0.21 0.63 3.68
0.25 0.67 3.68
0.29 0.71 3.72
0.17 0.67 3.72
0.29 0.71 3.72
0.29 0.63 3.63
0.21 0.88 3.67
0.25 0.75 3.76
0.21 0.63 3.60
0.29 0.59 3.68
0.13 0.88 3.67
0.25 0.88 3.59
0.17 0.79 3.76
0.25 1.34 3.47
0.25 0.71 3.67
0.25 0.71 3.68
0.25 0.71 3.72
0.25 0.71 3.80
0.29 0.59 3.60
0.17 0.79 3.76
0.29 0.63 3.68
0.17 0.84 3.64
0.17 0.50 3.77
0.29 0.63 3.64
0.29 0.42 3.73
0.25 0.83 3.63
0.21 0.67 3.76
0.21 0.63 3.81
0.33 0.63 3.67
0.17 0.38 3.65
0.33 0.54 3.68
0.17 0.54 3.73
0.29 0.75 3.71
0.21 0.71 3.72
0.25 0.54 3.72
0.21 0.46 3.73
0.17 0.59 3.64
0.29 0.59 3.81
0.29 0.63 3.68
0.21 0.67 3.68
0.17 0.71 3.68
0.21 0.83 3.75
0.17 0.75 3.80
0.29 0.63 3.72
0.29 0.79 3.63
0.21 0.59 3.72
0.25 0.71 3.59
0.29 0.63 4.85
0.29 0.71 3.67
0.25 0.71 3.59
0.42 0.79 3.63
0.17 0.96 3.63
0.33 0.63 3.68
0.21 0.71 3.72
0.33 0.83 3.67
0.25 0.75 3.60
0.29 0.63 3.68
0.21 0.84 3.72
0.21 0.67 3.60
0.29 0.54 3.64
0.25 0.63 3.68
0.29 0.54 3.64
0.25 0.75 3.76
0.17 0.63 3.69
0.21 0.79 3.68
0.21 0.71 3.64
0.21 0.63 3.68
0.17 0.88 3.80
0.17 0.88 3.67
0.21 0.54 3.68
0.21 0.63 3.68
0.25 0.67 3.68
0.17 0.59 3.85
0.25 0.63 3.64
0.33 0.63 3.72
0.29 0.67 3.72
0.29 0.54 3.68
0.21 0.59 3.89
0.33 0.71 3.67
0.25 0.63 3.68
0.21 0.75 3.71
0.25 0.63 3.68
0.25 0.67 3.80
1.04 1.96 2.97
0.54 0.79 3.68
0.33 0.92 3.63
0.17 0.71 3.56
0.25 0.63 3.77
0.29 0.88 3.75
0.17 0.75 3.68
0.21 0.79 3.72
0.29 0.67 3.76
0.17 0.63 3.76
0.25 0.59 3.72
0.25 0.63 3.68
0.25 0.71 3.72
0.25 0.71 3.72
0.29 0.63 3.72
0.29 0.71 3.71
0.25 0.59 3.72
0.29 0.63 3.67
0.17 0.88 3.68
0.13 0.63 3.85
0.38 0.42 3.64
0.29 0.63 3.72
0.17 0.46 3.69
0.29 0.59 3.72
0.21 0.54 3.81
0.25 0.63 3.72
0.25 0.63 3.68
0.25 0.59 3.72
0.29 0.59 3.68
0.29 0.83 3.80
0.29 0.75 3.67
0.21 0.54 3.73
0.25 0.71 3.67
0.17 0.84 3.68
0.21 0.83 4.01
0.25 0.67 3.72
0.21 0.88 3.63
0.17 0.75 3.64
0.33 0.63 3.64
0.29 0.67 3.63
0.38 0.79 3.67
0.25 0.46 3.69
0.33 0.71 3.63
0.25 0.63 3.68
0.21 0.59 3.72
0.13 0.75 3.64
0.33 0.71 3.67
0.13 0.75 3.68
0.21 0.75 3.72
0.29 0.71 3.80
0.13 0.75 3.68
0.25 0.59 3.72
0.33 0.88 3.71
0.33 0.54 3.72
0.21 0.67 3.68
0.25 0.59 3.72
0.13 0.75 3.68
0.21 0.50 3.68
0.21 0.75 3.72
0.17 0.63 3.77
0.21 0.79 3.71
0.25 0.59 3.72
0.13 0.63 3.68
0.25 0.71 3.68
0.33 0.71 3.76
0.33 0.67 3.72
0.25 0.59 3.72
0.25 0.79 3.63
0.17 0.75 3.72
0.17 0.67 3.72
0.17 1.59 3.76
0.25 0.59 3.77
0.13 0.67 3.68
0.21 0.71 3.72
0.42 0.63 3.80
0.21 0.71 3.68
0.21 0.59 3.64
0.17 0.79 3.72
0.25 0.59 3.68
0.25 0.75 3.80
0.17 0.71 3.72
0.25 0.71 3.63
0.25 0.67 3.72
0.25 0.59 3.68
0.25 0.63 3.81
0.38 0.79 3.67
0.21 0.67 3.68
0.29 0.67 3.72
0.29 0.83 3.75
0.25 0.71 3.76
0.17 0.84 3.68
0.25 0.54 3.72
0.33 0.50 3.64
0.29 0.59 3.68
0.38 0.75 3.84
0.29 0.63 3.72
0.25 0.67 3.72
0.29 0.75 3.67
0.13 0.63 3.69
0.21 0.84 3.84
0.17 0.54 3.64
0.17 0.67 3.68
0.25 0.63 3.68
0.25 0.71 3.67
0.33 0.71 3.76
0.33 0.67 3.67
0.25 0.75 3.59
0.25 0.67 3.76
0.21 0.63 3.72
0.25 0.71 3.76
0.25 0.67 3.68
0.29 0.75 3.67
0.25 0.75 3.63
0.25 0.67 3.72
0.33 0.71 3.76
0.29 0.79 3.63
0.13 0.79 3.72
0.17 0.67 3.72
0.29 0.71 3.76
0.25 0.79 4.05
0.17 0.71 3.72
0.17 0.71 3.72
0.25 0.71 3.72
0.21 0.67 3.64
0.21 0.71 3.76
0.25 0.46 3.69
0.21 0.75 3.72
0.25 0.75 3.72
0.25 0.71 3.68
0.21 0.59 3.77
0.38 0.71 3.63
0.25 0.67 3.72
0.25 0.79 3.63
