5 GB	30 GB	25 GB	20 GB	15 GB	10 GB	
1.74605	1.55983	1.76116	1.57121	1.71781	1.58123	
1.74586	1.55804	1.76027	1.57047	1.7242	1.58341	
1.74952	1.56127	1.76206	1.56899	1.72563	1.58169	
1.74288	1.56169	1.76776	1.57177	1.72937	1.5835	
1.73527	1.56418	1.76278	1.57915	1.73306	1.5876	
1.73586	1.56086	1.76126	1.58118	1.74083	1.59971	
1.73859	1.56423	1.76573	1.58969	1.7427	1.60805	
1.74454	1.56543	1.7665	1.58394	1.75377	1.60306	
1.74012	1.56177	1.77182	1.58321	1.76214	1.60115	
1.74201	1.55848	1.77021	1.58294	1.77516	1.60544	
1.74056	1.55989	1.77447	1.58315	1.77593	1.60395	
1.73841	1.55768	1.78243	1.58821	1.77189	1.6092	
1.73991	1.55617	1.78473	1.58565	1.77632	1.62334	
1.73953	1.54681	1.78421	1.58707	1.77007	1.63475	
1.74469	1.54248	1.77776	1.58467	1.76847	1.63649	
1.74362	1.54354	1.77394	1.5886	1.76388	1.64579	
1.74076	1.54234	1.77485	1.58392	1.76342	1.64888	
1.73468	1.54948	1.76737	1.58174	1.75841	1.64441	
1.73582	1.54434	1.77542	1.5812	1.75765	1.64599	
1.73412	1.54478	1.77551	1.5802	1.75835	1.64376	
1.72962	1.53691	1.77055	1.57444	1.75744	1.64018	
1.72415	1.53415	1.77418	1.58563	1.75533	1.64105	
1.71495	1.54108	1.76531	1.59275	1.75641	1.64407	
1.71761	1.5524	1.75264	1.59916	1.75625	1.64168	
1.72633	1.55986	1.7505	1.60079	1.75818	1.63715	
1.72618	1.55937	1.74866	1.59853	1.7606	1.63645	
1.73383	1.55794	1.74321	1.59942	1.76261	1.62686	
1.72478	1.56087	1.73997	1.60295	1.76107	1.63277	
1.72547	1.56297	1.74135	1.59994	1.75731	1.63543	
1.72063	1.56507	1.74253	1.59705	1.74995	1.6407	
1.72198	1.55762	1.74378	1.59694	1.75161	1.64915	
1.72044	1.56023	1.74165	1.59554	1.74728	1.64792	
1.71693	1.56537	1.74624	1.5953	1.74186	1.63652	
1.72285	1.56326	1.74622	1.59918	1.74992	1.627	
1.71563	1.56532	1.7458	1.60931	1.7581	1.62376	
1.71616	1.56455	1.74733	1.60719	1.76801	1.61301	
1.71561	1.55948	1.74491	1.61236	1.77062	1.61162	
1.7109	1.5543	1.75095	1.61458	1.77832	1.61763	
1.70135	1.55768	1.73921	1.6259	1.7784	1.62389	
1.70258	1.55847	1.73934	1.63688	1.76992	1.62151	
1.70996	1.56692	1.73934	1.64597	1.76435	1.62369	
1.72111	1.57063	1.73631	1.64433	1.76207	1.62383	
1.72541	1.56117	1.74125	1.65174	1.76721	1.6154	
1.72649	1.54837	1.74806	1.65006	1.76308	1.61535	
1.72333	1.5395	1.7579	1.64872	1.75524	1.61584	
1.72658	1.53613	1.75751	1.65737	1.75481	1.60834	
1.72248	1.53296	1.75839	1.66177	1.74971	1.61878	
1.7315	1.52789	1.75845	1.67377	1.74088	1.61447	
1.73143	1.52826	1.75024	1.68589	1.73749	1.61381	
1.73942	1.52831	1.75244	1.69154	1.73861	1.6065	
1.74204	1.5379	1.75274	1.70192	1.73422	1.604	
1.74303	1.54358	1.74706	1.70804	1.73721	1.60491	
1.74448	1.54044	1.74186	1.71414	1.74197	1.606	
1.74076	1.54496	1.73819	1.71734	1.73996	1.60957	
1.74561	1.54911	1.73289	1.7181	1.73684	1.61353	
1.74967	1.55215	1.73025	1.72375	1.73293	1.61803	
1.74712	1.55835	1.72663	1.72668	1.73404	1.61697	
1.73983	1.55705	1.72502	1.72802	1.73442	1.61358	
1.74753	1.559	1.73149	1.72696	1.7369	1.60845	
1.7513	1.56382	1.73145	1.71982	1.74678	1.60984	
1.75171	1.55767	1.73779	1.71878	1.74638	1.61822	
1.74777	1.55486	1.7365	1.72221	1.74239	1.61199	
1.74699	1.551	1.73589	1.71943	1.73145	1.61352	
1.74924	1.55209	1.74063	1.72793	1.73067	1.61269	
1.74812	1.54934	1.74099	1.73506	1.72884	1.61598	
1.74652	1.55405	1.7419	1.73505	1.72029	1.62216	
1.74758	1.55572	1.73978	1.73465	1.72224	1.61586	
1.75359	1.5588	1.73881	1.73004	1.72656	1.61841	
1.75481	1.56121	1.73773	1.72612	1.72622	1.62139	
1.75667	1.56069	1.72892	1.73134	1.73012	1.62469	
1.74785	1.55522	1.72414	1.73177	1.73277	1.62678	
1.753	1.55545	1.72335	1.73502	1.7303	1.62269	
1.75227	1.55788	1.71571	1.73917	1.72812	1.63088	
1.75291	1.55754	1.71536	1.74236	1.72846	1.6246	
1.75257	1.55737	1.72041	1.74081	1.72843	1.61998	
1.75267	1.559	1.71933	1.73768	1.73232	1.62392	
1.75513	1.55634	1.71748	1.74008	1.73503	1.62234	
1.76933	1.55699	1.71742	1.74047	1.73421	1.61753	
1.75863	1.55928	1.71553	1.73848	1.73234	1.61737	
1.74686	1.55584	1.71486	1.74249	1.72052	1.61847	
1.73914	1.55444	1.71243	1.74628	1.71376	1.60808	
1.73598	1.554	1.71339	1.74375	1.71805	1.61756	
1.73381	1.56704	1.71714	1.74285	1.72679	1.62781	
1.72624	1.56813	1.71595	1.73415	1.73748	1.63178	
1.72062	1.57688	1.7131	1.72327	1.74801	1.62961	
1.71049	1.57639	1.71203	1.7232	1.75085	1.62555	
1.70172	1.583	1.71069	1.71976	1.74779	1.6264	
1.6925	1.58838	1.70802	1.7179	1.74742	1.62416	
1.68491	1.59104	1.7146	1.71583	1.75	1.62296	
1.67413	1.59458	1.71978	1.71247	1.74033	1.62572	
1.67542	1.60218	1.72575	1.71004	1.74127	1.62162	
1.65909	1.60271	1.72679	1.70961	1.74271	1.62999	
1.65135	1.60429	1.73849	1.70951	1.74198	1.62065	
1.6413	1.60575	1.74106	1.71331	1.74432	1.62152	
1.63417	1.60741	1.74129	1.71916	1.73636	1.62273	
1.62119	1.6002	1.74039	1.72876	1.71672	1.61568	
1.61377	1.59998	1.74569	1.72567	1.70039	1.62368	
1.60764	1.60043	1.752	1.71685	1.69127	1.63884	
1.61259	1.60189	1.75262	1.7155	1.68239	1.63701	
1.61647	1.59989	1.75367	1.71822	1.68484	1.63006	
1.61538	1.60403	1.75419	1.71573	1.68562	1.62961	
1.61147	1.6101	1.7562	1.7216	1.68234	1.62094	
1.60691	1.60086	1.75384	1.73431	1.6719	1.61498	
1.60337	1.60005	1.75208	1.74124	1.65711	1.63647	
1.60616	1.59881	1.75282	1.75181	1.64352	1.66378	
1.60692	1.59718	1.75666	1.75614	1.63708	1.67228	
1.60673	1.5942	1.76196	1.75806	1.63569	1.6723	
1.60218	1.59352	1.76563	1.76097	1.62899	1.6718	
1.59934	1.59251	1.76491	1.76561	1.61712	1.67048	
1.59645	1.59125	1.76795	1.76635	1.61861	1.66088	
1.59457	1.58904	1.76418	1.76413	1.60651	1.66461	
1.59737	1.58416	1.76894	1.7608	1.59307	1.66643	
1.60043	1.5842	1.76744	1.75876	1.58012	1.67384	
1.60295	1.58652	1.76709	1.75423	1.56742	1.677	
1.60346	1.58235	1.76664	1.74704	1.56954	1.67967	
1.6168	1.58451	1.75573	1.74511	1.57515	1.71538	
1.6274	1.58359	1.74376	1.75215	1.58001	1.73344	
1.63502	1.58528	1.72731	1.761	1.58163	1.74399	
1.64756	1.58535	1.7148	1.76629	1.58328	1.75328	
1.6569	1.59002	1.70349	1.76725	1.57954	1.79726	
1.67128	1.59431	1.69102	1.76994	1.57437	1.80934	
1.68466	1.59284	1.68238	1.76854	1.56575	1.81811	
1.69751	1.59579	1.67685	1.76312	1.56809	1.8196	
1.71048	1.60149	1.66825	1.75946	1.57754	1.79985	
1.74741	1.60336	1.65962	1.75836	1.57632	1.78105	
1.7719	1.60565	1.65411	1.7537	1.57716	1.77871	
1.78845	1.60739	1.64015	1.75294	1.57285	1.79457	
1.80178	1.6036	1.63873	1.75451	1.57709	1.79654	
1.81498	1.6026	1.6334	1.7557	1.59356	1.80373	
1.84516	1.59958	1.6301	1.75623	1.59794	1.81928	
1.86424	1.59774	1.62524	1.75464	1.62333	1.83452	
1.9032	1.59993	1.61517	1.75723	1.65267	1.83186	
1.92991	1.60377	1.60151	1.75408	1.66825	1.83047	
1.93494	1.60124	1.60265	1.74968	1.69864	1.86523	
1.95855	1.60065	1.59756	1.75664	1.69673	1.8807	
1.98478	1.6048	1.60746	1.75159	1.69854	1.85635	
1.99427	1.605	1.61547	1.74334	1.7317	1.8418	
2.01904	1.61973	1.61579	1.73602	1.7963	1.8304	
2.01774	1.61892	1.61984	1.72497	1.81138	1.85086	
2.02659	1.61743	1.62712	1.72065	1.82537	1.81808	
2.02848	1.61373	1.64149	1.71635	1.82955	1.82775	
2.0562	1.6094	1.64102	1.7127	1.82999	1.8403	
2.07534	1.60901	1.63139	1.7087	1.82555	1.85555	
2.10306	1.60916	1.63791	1.7096	1.82775	1.86179	
66.8293	1.60555	1.63684	1.70839	1.86147	1.88393	
78.9711	1.63185	1.6294	1.70913	1.86757	1.88722	
78.9653	1.62935	1.63535	1.7062	1.89277	1.87778	
78.9658	1.63111	1.6357	1.70364	1.88637	1.88142	
78.9636	1.63187	1.63341	1.70141	1.87273	1.89121	
78.9442	1.63563	1.6298	1.70247	1.87468	1.89126	
78.951	1.63607	1.62887	1.71391	1.90403	1.87628	
78.935	1.68341	1.63299	1.71226	1.91239	1.87836	
78.919	1.67322	1.63877	1.7142	1.90936	1.90084	
78.9316	1.6707	1.63863	1.71217	1.88897	1.88529	
78.9136	1.66804	1.64111	1.70839	1.90534	1.87994	
78.9063	1.66005	1.64486	1.70577	1.90943	1.87332	
78.9212	1.65849	1.64724	1.70829	1.9031	1.88022	
78.9011	1.64262	1.65913	1.71551	1.83995	1.88872	
78.9264	1.64861	1.66418	1.73031	1.8434	1.88568	
78.9232	1.64467	1.67014	1.7352	1.83503	1.88869	
78.9361	1.66102	1.6678	1.73245	1.83665	1.89374	
78.8973	1.66727	1.67699	1.73156	1.84024	1.87723	
78.8784	1.71107	1.69313	1.7395	1.84232	1.86905	
78.8719	1.72497	1.69779	1.7397	1.83006	1.8756	
14.1218	1.73572	1.70766	1.73931	1.80356	1.87867	
1.98563	1.71663	1.71454	1.73947	1.79951	1.87688	
1.98876	1.72439	1.72062	1.73717	1.79979	1.88382	
1.98635	1.72421	1.7262	1.72984	1.81478	1.89289	
1.98338	1.72709	1.73634	1.74766	1.8183	1.89046	
1.98681	1.75408	1.74325	1.76513	1.8375	1.87935	
1.97301	1.75984	1.75207	1.75852	1.79306	1.8755	
1.96216	1.72714	1.75827	1.79397	1.77796	1.87159	
1.95918	1.73276	1.76693	1.8113	1.76627	1.8577	
1.95196	1.74239	1.76738	1.82193	1.76087	1.84339	
1.95342	1.78739	1.76957	1.82321	1.76113	1.83957	
1.92977	1.79346	1.76848	1.87594	1.75428	1.84312	
1.91854	1.79487	1.77023	1.88556	1.72864	1.82792	
1.92028	1.79611	1.76872	1.89805	1.7267	1.81143	
1.88706	1.78704	1.76575	1.88977	1.72289	1.78659	
1.88909	1.78804	1.76776	1.89925	1.7201	1.78087	
1.89152	1.77122	1.77057	1.90013	1.71713	1.7663	
1.89608	1.78949	1.76997	1.90195	1.75121	1.77047	
1.89285	1.75641	1.768	1.89818	1.75303	1.76966	
1.86981	1.73933	1.76466	1.90287	1.77593	1.78747	
1.87739	1.73355	1.76227	1.93861	1.77718	1.77719	
1.86533	1.75937	1.76706	1.93549	1.77675	1.78002	
1.86117	1.75218	1.77477	1.95304	1.75879	1.77213	
1.85914	1.766	1.76779	1.96256	1.74716	1.79239	
1.86663	1.76887	1.76784	1.95145	1.75608	1.79405	
1.85173	1.75074	1.76823	1.93313	1.76158	1.79318	
1.85592	1.76786	1.76874	1.92508	1.752	1.80113	
1.87052	1.77026	1.7683	1.90701	1.73739	1.80314	
1.8808	1.771	1.76734	1.90063	1.73952	1.79123	
1.88991	1.76314	1.76647	1.89482	1.75567	1.78941	
1.90275	1.72169	1.77254	1.89853	1.74065	1.80061	
1.90861	1.71389	1.77882	1.85299	1.74834	1.81291	
1.88846	1.72517	1.78147	1.8526	1.75367	1.83155	
1.87448	1.72862	1.78581	1.86938	1.75906	1.84983	
1.87205	1.73282	1.78944	1.87717	1.75433	1.86196	
1.86087	1.74201	1.78829	1.87209	1.76667	1.86814	
1.85181	1.74034	1.78441	1.88934	1.77505	1.85918	
1.84655	1.71564	1.78058	1.89365	1.74398	1.84821	
1.84268	1.70477	1.78363	1.88311	1.77939	1.84192	
1.85482	1.70244	1.7781	1.87119	1.77226	1.82924	
1.83707	1.7145	1.77246	1.83733	1.79847	1.8229	
1.82449	1.71329	1.7609	1.83413	1.83208	1.83422	
1.8225	1.73464	1.74816	1.81876	1.84174	1.83605	
1.82325	1.71932	1.75259	1.81692	1.85081	1.82053	
1.8208	1.71053	1.75108	1.8082	1.85978	1.8303	
1.82677	1.69729	1.74766	1.80301	1.83601	1.85037	
1.82054	1.67368	1.74686	1.79735	1.8736	1.84366	
1.81115	1.6572	1.74727	1.76809	1.88009	1.86729	
1.79985	1.6548	1.74063	1.74691	1.90342	1.89392	
1.78667	1.6533	1.73821	1.73744	1.89733	1.91487	
1.77663	1.65529	1.73144	1.72252	1.90714	1.91125	
1.76877	1.66266	1.72605	1.71832	1.90586	1.91307	
1.77786	1.66567	1.72671	1.71117	1.90574	1.89569	
1.77853	1.6757	1.72487	1.66912	1.91771	1.87569	
1.77919	1.69082	1.7264	1.6756	1.91896	1.8798	
1.78836	1.69741	1.72575	1.67838	1.91553	1.88472	
1.77854	1.70054	1.73082	1.65399	1.91207	1.91391	
1.78217	1.7024	1.7327	1.63942	1.91594	1.91983	
1.78606	1.72163	1.72767	1.63467	1.89022	1.92883	
1.76836	1.72808	1.7359	1.63389	1.89192	1.90911	
1.77163	1.70923	1.74554	1.62616	1.86811	1.90504	
1.77584	1.68003	1.75233	1.6236	1.84198	1.88282	
1.81719	1.6848	1.75761	1.6112	1.83111	1.87736	
1.81455	1.70414	1.75762	1.59973	1.83122	1.86704	
1.81456	1.71728	1.75876	1.61349	1.83031	1.84989	
1.81204	1.75798	1.75663	1.62764	1.84005	1.85832	
1.8217	1.75677	1.75018	1.64667	1.82602	1.88173	
1.80775	1.7727	1.74776	1.6515	1.82654	1.85986	
1.8204	1.77759	1.7529	1.67014	1.83918	1.83493	
1.82151	1.78	1.75387	1.69182	1.83142	1.81025	
1.81543	1.77711	1.75529	1.68799	1.83828	1.78971	
1.815	1.78706	1.75648	1.67862	1.86531	1.79658	
1.80801	1.80501	1.75704	1.6704	1.88784	1.81748	
1.81589	1.78582	1.75243	1.67381	1.90187	1.82123	
1.81448	1.76064	1.75184	1.65629	1.90316	1.82479	
1.80032	1.74199	1.74969	1.65647	1.90525	1.82419	
1.80952	1.73983	1.7458	1.66638	1.90522	1.79863	
1.81387	1.74311	1.74742	1.6836	1.90573	1.81289	
1.8118	1.72201	1.75077	1.71035	1.8987	1.80453	
1.81438	1.71973	1.75159	1.70701	1.91776	1.80615	
1.80961	1.72028	1.75096	1.70924	1.93105	1.80597	
1.81383	1.71773	1.7629	1.71085	1.94027	1.83276	
1.77239	1.69258	1.7839	1.71914	1.943	1.85594	
1.80404	1.6914	1.78529	1.72615	1.94485	1.85384	
1.79731	1.6814	1.80575	1.72321	1.94794	1.86022	
1.81736	1.65764	1.81191	1.70635	1.93916	1.83332	
1.80817	1.65532	1.82112	1.73035	1.92073	1.81451	
1.83454	1.6425	1.82619	1.72939	1.91719	1.81822	
1.82356	1.63718	1.82498	1.71286	1.89071	1.84828	
1.81905	1.63757	1.82753	1.69832	1.9124	1.87521	
1.84211	1.66596	1.82881	1.72897	1.93133	1.88083	
1.84792	1.65211	1.83696	1.73459	1.90804	1.86045	
1.84948	1.62754	1.84594	1.73532	1.8892	1.8398	
1.85141	1.63191	1.86723	1.75484	1.87665	1.8316	
1.86299	1.66555	1.89644	1.75955	1.87143	1.81203	
1.86097	1.67999	1.92564	1.75726	1.86234	1.80943	
1.85052	1.68829	1.93126	1.74861	1.86355	1.81621	
1.84461	1.71449	1.97628	1.74304	1.86792	1.80637	
1.86574	1.71839	1.98808	1.73398	1.87172	1.8082	
1.86645	1.73827	1.9922	1.75328	1.85355	1.80414	
1.88465	1.74869	1.99744	1.75185	1.84125	1.79768	
1.87009	1.7545	2.01158	1.75434	1.83486	1.77193	
1.87272	1.75458	1.99913	1.7664	1.8386	1.75203	
1.8522	1.75332	2.02309	1.75961	1.83343	1.77769	
1.86088	1.75859	2.01715	1.74051	1.84573	1.78759	
1.85052	1.7451	2.0153	1.73826	1.85418	1.81074	
1.84739	1.78012	2.01909	1.69623	1.87574	1.81705	
1.83375	1.78454	2.01835	1.69685	1.90254	1.81124	
1.8383	1.80523	2.04182	1.71428	1.91614	1.78519	
1.85482	1.81675	2.063	1.71379	1.90541	1.77352	
1.83978	1.78888	2.06251	1.69265	1.878	1.77516	
1.83887	1.78708	2.05605	1.69965	1.87934	1.77704	
1.84378	1.7794	2.05145	1.75783	1.8765	1.8051	
1.83537	1.77831	2.03455	1.75358	1.87305	1.81003	
1.84953	1.81038	2.00551	1.75603	1.87387	1.85214	
1.86979	1.81167	1.97338	1.76422	1.89282	1.86733	
1.88004	1.80991	1.98619	1.77374	1.90655	1.85854	
1.88517	1.78052	1.94253	1.76653	1.89818	1.85079	
1.86518	1.77123	1.93527	1.78662	1.92131	1.87762	
1.86371	1.75227	1.92825	1.80235	1.9302	1.88631	
1.86028	1.74325	1.92111	1.80691	1.9235	1.92099	
1.89445	1.7362	1.89627	1.80681	1.91895	1.92896	
1.91666	1.74178	1.87866	1.81453	1.95399	1.94031	
1.91458	1.74385	1.84384	1.83619	1.96563	1.92873	
1.9291	1.73738	1.84265	1.83952	1.95597	1.90611	
1.92447	1.73887	1.84366	1.86234	1.97615	1.88586	
1.94261	1.70612	1.85714	1.88601	1.98971	1.90793	
1.94815	1.69946	1.85927	1.89307	1.9658	1.91422	
1.95386	1.6789	1.83871	1.87764	1.95336	1.92333	
1.96618	1.67005	1.80994	1.87359	1.9644	1.92753	
1.96122	1.68455	1.8235	1.86165	1.96851	1.92643	
1.96342	1.72654	1.82687	1.85458	1.98781	1.92228	
1.96732	1.73333	1.83238	1.80599	1.99524	1.90733	
1.97251	1.7433	1.83357	1.79349	2.0214	1.92047	
1.95205	1.68789	1.83123	1.79827	2.03172	1.90159	
