45 GB	40 GB	35 GB	30 GB	
1.56656	1.73768	1.91296	1.73009	
1.56381	1.72633	1.89682	1.72393	
1.56207	1.73669	1.9176	1.72262	
1.56441	1.73066	1.94217	1.69411	
1.56163	1.74951	1.93905	1.72183	
1.55947	1.75183	1.94494	1.70507	
1.55376	1.76525	1.94537	1.70888	
1.55763	1.76242	1.93972	1.71245	
1.55491	1.76216	1.93167	1.71281	
1.55722	1.78865	1.92474	1.71942	
1.55875	1.77838	1.90978	1.72102	
1.56654	1.79301	1.92134	1.71631	
1.56612	1.7922	1.9328	1.71153	
1.58501	1.8032	1.91947	1.71069	
1.58439	1.79666	1.91379	1.70995	
1.58097	1.80785	1.93057	1.6922	
1.58711	1.82389	1.9527	1.69308	
1.59686	1.84487	1.97505	1.68856	
1.59633	1.85561	1.97601	1.68733	
1.60017	1.87643	1.97	1.70875	
1.60239	1.88011	1.97792	1.71553	
1.59804	1.90312	1.97384	1.71791	
1.59679	1.89606	1.95325	1.71906	
1.59312	1.87547	1.94899	1.71855	
1.5937	1.86312	1.97938	1.69095	
1.60073	1.85852	1.97496	1.70932	
1.60437	1.86213	2.01593	1.7099	
1.6016	1.86274	2.0088	1.71605	
1.60408	1.87675	2.02206	1.71562	
1.6014	1.88897	2.02115	1.71325	
1.59907	1.87931	2.02868	1.70749	
1.59303	1.87322	2.02441	1.71702	
1.59233	1.89718	2.01975	1.7262	
1.57708	1.89981	2.0192	1.73136	
1.57855	1.89717	2.01986	1.73207	
1.58138	1.905	1.99696	1.7533	
1.57419	1.88304	1.98315	1.77482	
1.56643	1.86639	1.97314	1.76788	
1.56639	1.8564	1.99621	1.76585	
1.56355	1.83848	1.99745	1.75216	
1.57812	1.83694	2.01386	1.7439	
1.58539	1.8111	2.02391	1.74507	
1.58904	1.78705	2.03957	1.74624	
1.59287	1.78944	2.03046	1.75084	
1.59118	1.76607	1.99362	1.75292	
1.58289	1.76209	1.98406	1.73142	
1.58817	1.74265	1.94152	1.72326	
1.58431	1.73685	1.92162	1.72606	
1.59919	1.72312	1.90793	1.73364	
1.60771	1.69001	1.91368	1.73234	
1.61344	1.67809	1.90398	1.72786	
1.61276	1.66878	1.90499	1.72346	
1.61393	1.63642	1.89369	1.72183	
1.6085	1.61462	1.88404	1.71351	
1.60412	1.5993	1.89484	1.71307	
1.60529	1.57574	1.89557	1.69353	
1.60394	1.59807	1.88823	1.67875	
1.61433	1.59704	1.88104	1.68984	
1.61671	1.61595	1.86314	1.69438	
1.61516	1.62069	1.85056	1.69383	
1.59753	1.62098	1.83264	1.6861	
1.5993	1.61866	1.82691	1.68716	
1.59808	1.64384	1.82931	1.67817	
1.59974	1.66501	1.80968	1.68459	
1.60061	1.6813	1.80275	1.6869	
1.60348	1.68482	1.82055	1.68757	
1.60764	1.69601	1.8397	1.6892	
1.61528	1.70817	1.84757	1.68298	
1.61191	1.70593	1.8407	1.67366	
1.61519	1.70894	1.8496	1.70288	
1.62054	1.72621	1.83822	1.70846	
1.61599	1.74348	1.8301	1.72947	
1.62007	1.75214	1.83023	1.72734	
1.61992	1.78104	1.85032	1.72468	
1.62004	1.80431	1.84815	1.71414	
1.6138	1.80178	1.83912	1.70455	
1.61556	1.80099	1.83816	1.69283	
1.62224	1.81705	1.83423	1.68957	
1.63481	1.8186	1.84193	1.69325	
1.64533	1.81891	1.84845	1.71002	
1.64603	1.82982	1.91304	1.71478	
1.63686	1.83266	1.92078	1.70682	
1.67131	1.80767	1.90827	1.73467	
1.67633	1.80821	1.92293	1.71975	
1.67741	1.82661	1.93508	1.71427	
1.68118	1.83095	1.93238	1.7278	
1.67074	1.83265	1.91099	1.72341	
1.66192	1.81755	1.91306	1.72817	
1.6504	1.80952	1.9154	1.73325	
1.64199	1.81848	1.90787	1.71563	
1.63333	1.81359	1.90806	1.74197	
1.63499	1.79847	1.94258	1.73231	
1.62833	1.80012	1.94676	1.74392	
1.6289	1.77379	1.97349	1.76874	
1.63331	1.75981	1.96421	1.79982	
1.63992	1.76355	1.98438	1.79834	
1.64593	1.7582	1.99313	1.80512	
1.6575	1.74492	1.99947	1.82097	
1.64811	1.7518	1.99216	1.80985	
1.65334	1.75031	2.00793	1.78551	
1.66412	1.74114	1.9479	1.8089	
1.66326	1.7594	1.95989	1.81338	
1.62684	1.76302	1.95407	1.8228	
1.6221	1.74606	1.94099	1.84583	
1.63578	1.72131	1.96141	1.85564	
1.63666	1.72368	1.95417	1.8347	
1.64227	1.73161	1.97714	1.84102	
1.65496	1.73858	1.9776	1.82199	
1.6678	1.75967	1.99495	1.81701	
1.67918	1.75251	1.98828	1.84418	
1.69447	1.75472	1.99513	1.82455	
1.71279	1.75575	1.95684	1.82433	
1.72345	1.74559	1.98355	1.80968	
1.73237	1.74696	1.94789	1.78162	
1.73545	1.75524	1.94546	1.75695	
1.74552	1.75238	1.93894	1.75653	
1.74868	1.74825	1.94617	1.75411	
1.71927	1.74645	1.93922	1.73675	
1.71285	1.72384	1.95657	1.74503	
1.70412	1.72474	1.9493	1.74628	
1.69397	1.72201	1.9439	1.72153	
1.70209	1.71716	1.92428	1.71468	
1.70461	1.71099	1.97052	1.67569	
1.69827	1.70935	1.97621	1.65624	
1.68409	1.71701	1.95555	1.64928	
1.68419	1.71896	1.94806	1.64554	
1.68386	1.70635	1.94315	1.63268	
1.66893	1.72783	1.93434	1.65624	
1.66415	1.73594	1.94518	1.65848	
1.65528	1.73253	1.95499	1.61637	
1.63723	1.7326	1.94461	1.60993	
1.62052	1.72822	1.92839	1.59294	
1.61354	1.72987	1.9061	1.60033	
1.60379	1.72492	1.90757	1.60637	
1.59913	1.7095	1.91474	1.60217	
1.58819	1.72761	1.89511	1.60524	
1.58647	1.73703	1.87335	1.62202	
